,name,role,p_index
461,ur-ku₃-nun-na,['source'],101403
462,nu-ur₂-{d}suen,['intermediary'],101403
463,{d}šul-gi-i₃-li₂,['source'],101404
464,ARAD₂-mu,['authorized'],101405
465,du₁₁-ga,['source'],101405
466,nu-ur₂-{d}suen,['intermediary'],101405
467,{d}en-lil₂-la₂,['new owner'],101406
468,nu-i₃-da,['new owner'],101406
469,ur-nigar[{gar}],['new owner'],101406
470,{d}nanše-GIR₂@g?-gal,['authorized'],101406
471,ka₅-a-mu,['source'],101407
472,ur-ku₃-nun-na,['recipient'],101407
473,nin-a-zu,['intermediary'],101407
474,{d}šul-gi-a-a-mu,['recipient'],101408
475,ur-{d}dumu-zi-da,['intermediary'],101409
476,a-hi-ma,['source'],101409
477,na-ra-am-i₃-li₂,['source'],101410
478,ur-mes,['recipient'],101410
479,it-ra-ak-i₃-li₂,['intermediary'],101410
480,lu₂-{d}suen,['source'],101411
481,lugal-ezem-e,['recipient'],101411
482,ur-nigar{gar},['recipient'],101412
483,ur-nigar{gar},['recipient'],101413
484,lu₂-dingir-ra,['source'],101414
485,ur-nigar[{gar}],['recipient'],101414
486,ur#-{d}x,['source'],101415
487,{d}šul#-gi#-iri#?-mu#?,['recipient'],101415
488,ur-nigar[{gar}],['recipient'],101416
489,ur-šu-ga-lam-ma,"['source', 'source']",101417
490,lu₂-{d}utu,"['recipient', 'recipient']",101417
491,na-lu₅,['source'],101418
492,ur-nigar{gar},['recipient'],101418
493,na-ra-am-i₃-li₂,['source'],101419
494,na-lu₅,['source'],101421
495,ur-nigar{gar},['recipient'],101421
496,{d}šara₂-kam,['source'],101422
497,lugal-iti-da,['source'],101423
498,ab-ba-sa₆-ga,['recipient'],101423
499,ur-nigar{gar},['source'],101424
500,ab-ba-sa₆-ga,['recipient'],101424
501,ab-ba-sa₆-ga,['source'],101425
502,ur₂-ra-dingir,['recipient'],101425
503,u₂-ta₂-mi-šar-ra-am,['source'],101426
504,{d}šul-gi-iri-mu,['recipient'],101426
505,lugal-iti-da,['source'],101427
506,ur-mes,['recipient'],101427
507,lu₂-{d}nin-šubur,['intermediary'],101427
508,u₂-ta₂-mi-šar-ra-am,['source'],101428
509,{d}šul-gi-iri-mu,['recipient'],101428
510,a-hu-we-er,['source'],101429
511,{d}šul-gi-iri-mu,['recipient'],101429
512,lugal-iti-da,['source'],101430
513,lugal-ku₃-zu,['recipient'],101430
514,{d}šul-gi-[iri-mu],['recipient'],101431
515,igi-{d}en-lil₂-še₃,['source'],101432
516,{d}šul-gi-iri-mu,['recipient'],101432
517,na-lu₅,['source'],101433
518,{d}šul-gi-iri-mu,['recipient'],101433
