name;professions
[šar-ru]-um-i₃-li₂;{'sukkal[secretary]'}
[šeš]-da#-da;{'FN'}
[šeš]-da-da;{'FN'}
[šeš]-zi-mu;{'šabra[administrator]'}
[šu-da-da];{'nagada[herdsman]'}
[šu-{d}šul]-gi;{'šuʾi[barber]'}
[šu]-eš₁₈#-dar;{'uddatuš[jester]'}
[šu]-eš₁₈-dar;{'unud[cowherd]'}
[šu]-ma-ma;{'ensik[ruler]'}
a!-bi₂-du₁₀;{'ragaba[rider]'}
a!-hu-ni;{'šagia[cup-bearer]'}
a#-[hu-ni;{'šagia[cup-bearer]'}
a#-hu#-ma;{'ensik[ruler]'}
a#-hu#-ni;{'šagia[cup-bearer]'}
a#-hu#-ni#-ta#;{'PN'}
a#-mur#-dingir#;{'ragaba[rider]'}
a#?-du-du;{'šabra[administrator]'}
a-[x;{'u'}
a-a-[kal-la];{'ensik[ruler]'}
a-a-dingir;{'de[pour]'}
a-a-dingir-mu;{'šagia[cup-bearer]'}
a-a-i₃-li₂-šu;{'u'}
a-a-kal#-la#;{'muhaldim[cook]'}
a-a-kal-[la;{'u'}
a-a-kal-la;{'nagada[herdsman]', 'lu[person]', 'unud[cowherd]', 'ugula[overseer]', 'sipad[shepherd]', 'šagia[cup-bearer]', 'kurušda[fattener]', 'ensik[ruler]', 'nubanda[overseer]', 'muhaldim[cook]'}
a-a-kal-la#;{'nubanda[overseer]'}
a-a-mu;{'namerim[oath]', 'ugula[overseer]', 'šabra[administrator]'}
a-a-mu#;{'šabra[administrator]'}
a-a-x-x;{'AN'}
a-ab-ba-a;{'unud[cowherd]', 'ensik[ruler]'}
a-ab-ba-mu;{'kuš[official]'}
a-ab-ba-ni;{'FN'}
a-ab-mi-ra-din;{'lu[person]'}
a-ab-{d}šul-gi;{'dumu[child]'}
a-ad-[da];{'uddatuš[jester]'}
a-ad-da;{'uddatuš[jester]', 'mu[year]'}
a-ad-da-a;{'PN'}
a-ad-da-mu;{'dumu[child]'}
a-al-la;{'AN', 'muhaldim[cook]'}
a-al-la-mu;{'PN'}
a-an-na-ti;{'sukkal[secretary]'}
a-ba-ar-du-uk;{'sukkal[secretary]'}
a-ba-ba;{'nubanda[overseer]'}
a-ba-e-ne-gin₇;{'lu[person]'}
a-ba-nam-tag-in-BAD;{'munus[woman]'}
a-ba-ni;{'ragaba[rider]'}
a-ba-pu-um;{'muhaldim[cook]'}
a-ba-u₃;{'MAR.TU[westerner]'}
a-ba-{d}en-lil₂#-gin₇;{'PN'}
a-ba-{d}en-lil₂-[gin₇;{'mu.DU[delivery]', 'PN'}
a-ba-{d}en-lil₂-gin₇;{'X', 'dumu[child]', 'ragaba[rider]', 'PN'}
a-bi₂-UD-IŠ?;{'MAR.TU[westerner]'}
a-bi₂-a;{'uš[die]', 'dumu[child]', 'lu[person]'}
a-bi₂-a-bi-ih;{'šagia[cup-bearer]'}
a-bi₂-a-bi₂-ih;{'šagia[cup-bearer]'}
