p_index,people_involved
111812,"[(('zu-ba-ga', 'PN'), ""['source']"", 6), (('ad-da-kal-la', 'dubsar[scribe]'), ""['intermediary']"", 8), (('ku₃-{d}nanna', 'sukkal[secretary]'), ""['representative']"", 2), (('la-ma-har', 'šagia[cup-bearer]'), ""['representative']"", 3), (('ri-ib-hu-ti', 'sukkal[secretary]'), ""['intermediary']"", 0)]"
144000,"[(('i₃-lal₃-lum', 'None'), ""['representative']"", 47), (('ab-ba-sa₆-ga', 'None'), ""['source']"", 2230), (('nir-i₃-da-gal₂', 'None'), ""['new owner']"", 19), (('ur-{d}ba-ba₆', 'None'), ""['representative']"", 198), (('ARAD₂-mu', 'None'), ""['new owner']"", 615), (('en-ur₂-ku₃-ge', 'None'), ""['new owner']"", 4)]"
126142,"[(('lu₂-dingir-ra', 'dumu[child]'), ""['source']"", 8), (('lu₂-dingir-ra', 'dumu[child]'), ""['source']"", 9), (('a-ba-{d}en-lil₂-gin₇', 'ragaba[rider]'), ""['intermediary']"", 0), (('a-ba-{d}en-lil₂-gin₇', 'ragaba[rider]'), ""['intermediary']"", 1), (('a-ba-{d}en-lil₂-gin₇', 'ragaba[rider]'), ""['intermediary']"", 2), (('na-lu₅', 'None'), ""['source']"", 615), (('{d}šul-gi-a-a-mu', 'None'), ""['source']"", 218), (('lu₂-dingir-ra', 'PN'), ""['source']"", 12), (('en-dingir-mu', 'None'), ""['source']"", 143), (('na-bi₂-{d}suen', 'sukkal[secretary]'), ""['intermediary']"", 4), (('ARAD₂-hul₃-la', 'None'), ""['source']"", 1), (('inim-{d}šara₂', 'None'), ""['source']"", 7)]"
134160,"[(('ur-{d}suen', 'dumu[child]'), ""['new owner']"", 8), (('lu₂-{d}nanna', 'šabra[administrator]'), ""['new owner']"", 12), (('šeš-da-da', 'FN'), ""['new owner']"", 62), (('šeš-da-da', 'FN'), ""['new owner']"", 63), (('ARAD₂-mu', 'None'), ""['representative']"", 535), (('na-sa₆', 'PN'), ""['source']"", 149)]"
416196,"[(('ur-nigar{gar}', 'None'), ""['source']"", 845), (('lugal-KU', 'None'), ""['source']"", 2), (('ur-{d}nin-da', 'None'), ""['source']"", 2), (('dingir-ra-bi₂', 'None'), ""['source']"", 5), (('ur-{d}ba-ba₆', 'None'), ""['source']"", 237), (('lugal-im-ru-a', 'None'), ""['source']"", 2), (('lugal-u₄-su₃-še₃', 'None'), ""['recipient']"", 4), (('en-dingir-mu', 'None'), ""['recipient']"", 256), (('ur-{d}nanna', 'None'), ""['source']"", 31), (('{d}inanna-ur-sag', 'None'), ""['source']"", 1)]"
123293,"[(('ur-nigar{gar}', 'None'), ""['new owner']"", 344), (('lu₂-sa₆-ga', 'None'), ""['new owner']"", 36), (('ARAD₂-mu', 'None'), ""['representative']"", 282), (('a-a-kal-la', 'None'), ""['representative']"", 61), (('na-sa₆', 'PN'), ""['source']"", 87), (('e₂-a-i₃-li₂', 'None'), ""['new owner']"", 31)]"
332394,"[(('{d}nin-lil₂-ama-mu', 'None'), ""['representative']"", 10), (('{d}suen-a-bu-šu', 'šagia[cup-bearer]'), ""['representative']"", 35), (('{d}suen-a-bu-šu', 'šagia[cup-bearer]'), ""['representative']"", 36), (('nu-ur₂-eš₁₈-dar', 'None'), ""['intermediary']"", 5), (('{d}nin-lil₂-zi-mu', 'None'), ""['representative']"", 5)]"
108712,"[(('an-hi-ir', 'None'), ""['intermediary']"", 2), (('ur-{d}lamma', 'kurušda[fattener]'), ""['intermediary']"", 0), (('ur-{d}lamma', 'kurušda[fattener]'), ""['intermediary']"", 1), (('ka₅-a-mu', 'None'), ""['source']"", 11), (('sa₃-si₂', 'None'), ""['intermediary']"", 25), (('ur-{d}ba-ba₆', 'dumu[child]'), ""['intermediary']"", 7), (('a-da-lal₃', 'None'), ""['intermediary']"", 6), (('šeš-kal-la', 'None'), ""['source', 'intermediary']"", 4), (('šeš-kal-la', 'None'), ""['source', 'intermediary']"", 5), (('ur-{d}lamma', 'None'), ""['intermediary']"", 3)]"
126170,"[(('ab-ba-sa₆-ga', 'None'), ""['intermediary']"", 1590), (('ab-ba-sa₆-ga', 'None'), ""['intermediary']"", 1591), (('ur-{d}šul-pa-e₃', 'muhaldim[cook]'), ""['intermediary']"", 4), (('dingir-dan', 'sukkal[secretary]'), ""['source']"", 25), (('dingir-dan', 'None'), ""['source']"", 5), (('ab-ba-sa₆-ga#', 'None'), ""['intermediary']"", 8), (('ur-sa₆-ga', 'None'), ""['intermediary']"", 28), (('šu-da-da', 'None'), ""['source']"", 10), (('šu-da-da', 'None'), ""['source']"", 11)]"
107695,"[(('ur-nigar{gar}', 'None'), ""['recipient']"", 116), (('nir-i₃-da-gal₂', 'None'), ""['new owner']"", 3), (('ARAD₂-mu', 'None'), ""['new owner']"", 137), (('a-a-kal-la', 'None'), ""['representative']"", 30), (('na-sa₆', 'PN'), ""['source']"", 38)]"
