,Name,id_word,role,profession,CDLI No
12498,ur-mes[]PN,P104384.10.2,,,P104384
12499,ur-mes[]PN,P104384.15.1,,,P104384
12500,la-na[]PN,P104384.16.2,,kurušda[fattener]N,P104384
12501,ur-ku₃-nun-na-ta[]PN,P142911.5.2,source,,P142911
12502,ur-{d}iškur[]PN,P142911.6.1,,šabra[administrator]N,P142911
12503,a₂-bi₂-lum[]PN,P235919.5.1,,,P235919
12504,lugal-me-lam₂[]PN,P235919.9.4,,,P235919
12505,wa-at-ra-at[]PN,P114057.5.1,,ugula[overseer]N,P114057
12506,ur-{d}lugal-edin-ka[]PN,P114057.9.1,new owner,,P114057
12507,uri₅{ki}-ki-du₁₀[]PN,P106392.7.1,recipient,,P106392
12508,{d}i-bi₂-{d}suen[]PN,P106392.14.1,,,P106392
12509,uri₅{ki}-ki-du₁₀[]PN,P106392.20.1,,muhaldim[cook]N,P106392
12510,lu₂-dingir-ra[]PN,P122186.9.1,recipient,,P122186
12511,{d}amar-{d}suen[]PN,P122186.12.2,,lugal[king]N,P122186
12512,lu₂-dingir-ra[]PN,P133956.15.1,,,P133956
12513,ur-nigar{gar}[]PN,P133956.16.1,recipient,,P133956
12514,{d}amar-{d}suen[]PN,P133956.18.2,,lugal[king]N,P133956
12515,ba-ba-ti[]PN,P125441.4.1,,,P125441
12516,ur-{d}utu[]PN,P125441.6.1,,nubanda[overseer]N,P125441
12517,{d}iškur-ra-bi₂[]PN,P125441.9.1,,nubanda[overseer]N,P125441
12518,ab-ba-sa₆-ga[]PN,P125441.12.1,new owner,,P125441
12519,u₁₈-ba-a-ta[]PN,P142571.9.2,source,,P142571
12520,na-sa₆[]PN,P142571.19.2,new owner,,P142571
12521,lugal-me-lam₂[]PN,P433576.5.2,new owner,ensik[ruler]N,P433576
12522,lu₂-sa₆-ga[]PN,P433576.12.2,new owner,šabra[administrator]N,P433576
12523,ur-nigar{gar}[]PN,P433576.15.2,new owner,kaguruk[supervisor]N,P433576
12524,ARAD₂-mu[]PN,P125898.6.1,representative,,P125898
12525,zu₂-ga-li-ta[]PN,P125898.9.2,source,,P125898
12526,nu-ur₂-{d}suen[]PN,P125898.11.2,intermediary,dubsar[scribe]N,P125898
12527,ib-ni-{d}iškur[]PN,P125898.11.5,,,P125898
12528,lugal-kal-ga[]PN,P125898.19.1,,,P125898
12529,a-da-lal₃[]PN,P301099.5.1,,dubsar[scribe]N,P301099
12530,ur-sa₆-ga[]PN,P124945.4.2,,šabra[administrator]N,P124945
12531,kal-la-mu[]PN,P124945.8.2,,ensik[ruler]N,P124945
12532,na-sa₆-ta[]PN,P124945.12.2,source,,P124945
12533,ur-ku₃-nun-na[]PN,P124945.13.1,recipient,,P124945
12534,ab-ba-sa₆-ga-ta[]PN,P407124.5.2,source,,P407124
12535,šu-er₃-ra[]PN,P407124.6.1,recipient,,P407124
12536,{d}amar-{d}suen[]PN,P407124.11.2,,lugal[king]N,P407124
12537,ab-ba-sa₆-ga-ta[]PN,P390971.6.2,source,,P390971
12538,ab-ba-sa₆-ga[]PN,P136300.7.2,intermediary,,P136300
12539,ur-ku₃-nun-na[]PN,P136300.8.1,recipient,,P136300
12540,ur-ku₃-nun-na[]PN,P136300.16.1,,dubsar[scribe]N,P136300
12541,lu₂-{d}nin-gir₂-su[]PN,P136300.18.2,,sipad[shepherd]N,P136300
12542,ze₂-na-na[]PN,P123294.4.2,new owner,,P123294
12543,i-šar-ra-ma-aš[]PN,P123294.6.2,new owner,,P123294
12544,ur-{d}nin-gal[]PN,P123294.8.2,new owner,,P123294
12545,ur-{d}ba-ba₆[]PN,P123294.22.2,new owner,,P123294
12546,du₁₁-ga-zi-da[]PN,P123294.24.2,new owner,,P123294
12547,ik-bu-zum[]PN,P123294.29.2,new owner,lu[person]N,P123294
12548,na-sa₆-ta[]PN,P123294.34.2,source,,P123294
12549,ur-{d}lamma[]PN,P106151.4.1,,dubsar[scribe]N,P106151
12550,ur-{d}lamma[]PN,P106151.7.1,,dubsar[scribe]N,P106151
12551,lu₂-{d}nanše[]PN,P106151.10.1,,dubsar[scribe]N,P106151
12552,u₃-ma-ni[]PN,P106151.18.2,intermediary,,P106151
12553,{d}i-bi₂-{d}suen[]PN,P106151.21.2,,lugal[king]N,P106151
12554,na-lu₅-ta[]PN,P107595.7.2,source,,P107595
12555,ur-nigar{gar}[]PN,P107595.8.1,recipient,,P107595
12556,ab-ba-sa₆-ga-ta[]PN,P107873.6.2,source,,P107873
12557,en-dingir-mu[]PN,P107873.7.1,recipient,,P107873
12558,lu₂-dingir-ra-ta[]PN,P107891.6.2,source,,P107891
12559,{d}šul-gi-iri-mu[]PN,P107891.8.1,recipient,,P107891
12560,zu₂-ga-li-ta[]PN,P103162.6.2,source,,P103162
12561,{d}šul-gi-iri-mu[]PN,P103162.7.1,recipient,,P103162
12562,ba-ba-ti[]PN,P103162.11.2,,,P103162
12563,na-lu₅-ta[]PN,P104400.8.2,source,,P104400
12564,ur-mes[]PN,P104400.10.2,,,P104400
12565,ur-mes[]PN,P104400.15.1,,,P104400
12566,la-na[]PN,P104400.16.2,,kurušda[fattener]N,P104400
12567,šeš-kal-la[]PN,P210622.7.2,,,P210622
12568,nu-ur₂-{d}suen-ta[]PN,P210622.9.2,source,,P210622
12569,li-bur-{d}šul-gi[]PN,P210622.14.1,,dubsar[scribe]N,P210622
12570,kal-la-mu[]PN,P210622.16.2,,,P210622
12571,giri₃-ni-i₃-sa₆-ta[]PN,P143925.3.4,source,,P143925
12572,ur-{d}nin-sa-za[]PN,P143925.7.4,,,P143925
12573,ur-mes-ta[]PN,P143925.8.4,source,,P143925
12574,ur-du₆-ku₃[]PN,P143925.9.2,intermediary,šuʾi[barber]N,P143925
12575,na-we-er-dingir-ta[]PN,P143925.10.4,source,,P143925
12576,ur-{d}šul-pa-e₃[]PN,P143925.11.4,,,P143925
12577,gu-za-ni-ta[]PN,P143925.11.6,,,P143925
12578,ab-ba-sa₆-ga[]PN,P143925.13.2,,,P143925
12579,ur-{d}en-lil₂-la₂-ta[]PN,P143925.14.4,source,,P143925
12580,en-dingir-mu[]PN,P143925.17.3,,,P143925
12581,ab-ba-sa₆-ga[]PN,P143925.19.5,,,P143925
12582,{d}en-lil₂-la₂[]PN,P143925.22.1,recipient,,P143925
12583,{d}amar-{d}suen[]PN,P143925.23.2,,lugal[king]N,P143925
12584,lu₂-dingir-ra-ta[]PN,P218013.7.2,source,,P218013
12585,ur-nigar{gar}[]PN,P218013.9.1,recipient,,P218013
12586,ab-ba-sa₆-ga-ta[]PN,P128787.7.2,source,,P128787
12587,in-ta-e₃-a[]PN,P128787.9.1,recipient,,P128787
12588,a-ba-{d}šara₂-ta[]PN,P104683.6.2,source,,P104683
12589,giri₃-{d}šara₂-i₃-dab₅[]PN,P104683.8.1,recipient,,P104683
12590,lu₂-du₁₀-ga[]PN,P104683.13.1,,šabra[administrator]N,P104683
12591,giri₃-{d}šara₂-i₃-dab₅[]PN,P104683.14.1,,šuʾi[barber]N,P104683
12592,na-sa₆-ta[]PN,P124396.5.2,source,,P124396
12593,lugal-ha-ma-ti[]PN,P124396.6.1,recipient,,P124396
12594,ab-ba-sa₆-ga-ta[]PN,P330675.5.2,source,,P330675
12595,na-ra-am-e₂-a[]PN,P330675.12.1,,,P330675
12596,zu-ba-ga-ta[]PN,P122620.6.2,source,,P122620
12597,{d}šul-gi-iri-mu[]PN,P122620.8.1,recipient,,P122620
12598,nir-i₃-da-gal₂[]PN,P126269.6.2,,,P126269
12599,nam-ha-ni[]PN,P126269.8.1,recipient,,P126269
12600,a-hu-we-er-ta[]PN,P117680.5.2,source,,P117680
12601,{d}šul-gi-iri-mu[]PN,P117680.6.1,recipient,,P117680
12602,{d}amar-{d}suen[]PN,P117680.16.1,,,P117680
12603,lu₂-{d}nanna[]PN,P117680.21.1,,dubsar[scribe]N,P117680
12604,inim-{d}šara₂[]PN,P117680.23.2,,saŋ.DUN₃[recorder]N,P117680
12605,na-sa₆-ta[]PN,P117589.45.4,source,,P117589
12606,lu₂-dingir-ra[]PN,P117589.46.1,recipient,,P117589
12607,a-i₃-li₂-su[]PN,P136177.8.1,,ugula[overseer]N,P136177
12608,{d}amar-{d}suen[]PN,P136177.11.2,,lugal[king]N,P136177
12609,{d}en-lil₂-la₂[]PN,P136177.11.5,,,P136177
12610,giri₃-ni-ta[]PN,P126587.4.2,source,,P126587
12611,ur-mes[]PN,P126587.5.1,recipient,,P126587
12612,ur-mes[]PN,P126587.10.1,,,P126587
12613,la-na[]PN,P126587.11.2,,kurušda[fattener]N,P126587
12614,ur-ku₃-nun-na-ta[]PN,P291928.14.2,source,,P291928
12615,ur-ku₃-nun-na[]PN,P291928.24.1,,dubsar[scribe]N,P291928
12616,lu₂-{d}nin-gir₂-su[]PN,P291928.26.2,,kurušda[fattener]N,P291928
12617,ur-{d}ba-ba₆[]PN,P136055.4.2,new owner,,P136055
12618,gu-du-du[]PN,P136055.4.4,,,P136055
12619,te-te[]PN,P136055.7.2,new owner,zabardab[official]N,P136055
12620,lugal-i₃-mah[]PN,P133908.5.2,intermediary,šagia[cup-bearer]N,P133908
12621,lu₂-dingir-ra[]PN,P133908.9.2,,,P133908
12622,{d}amar-{d}suen[]PN,P104317.12.1,,lugal[king]N,P104317
12623,ur-{d}šul-pa-e₃[]PN,P104317.16.1,,dubsar[scribe]N,P104317
12624,ur-{d}ha-ia₃[]PN,P104317.18.2,,arad[slave]N,P104317
12625,ki-{d}suen[]PN,P390797.4.1,,,P390797
12626,{d}en-lil₂-la₂[]PN,P390797.12.3,,,P390797
12627,na-lu₅-ta[]PN,P390797.24.2,source,,P390797
12628,ab-ba-sa₆-ga-ta[]PN,P117276.7.2,source,,P117276
12629,in-ta-e₃-a[]PN,P117276.9.1,recipient,,P117276
12630,ab-ba-sa₆-ga-ta[]PN,P128799.7.2,source,,P128799
12631,a-hu-we-er[]PN,P128799.9.1,recipient,,P128799
12632,a-bu-ni[]PN,P106127.5.2,intermediary,,P106127
12633,na-ra-am-i₃-li₂-ta[]PN,P106127.7.2,source,,P106127
12634,ba-ba-ti[]PN,P104761.3.3,,,P104761
12635,šu-eš₁₈-dar[]PN,P104761.8.3,,,P104761
12636,a-hu-we-er[]PN,P104761.10.3,,,P104761
12637,a-a-i₃-li₂[]PN,P104761.11.3,,,P104761
12638,iš-me-dingir[]PN,P104761.12.3,,,P104761
12639,mi-na-nu-um[]PN,P104761.13.3,,,P104761
12640,na-bi₂-{d}suen[]PN,P104761.14.3,,nubanda[overseer]N,P104761
12641,šu-{d}nin-šubur[]PN,P104761.17.3,,,P104761
12642,ri-im-i₃-li₂[]PN,P104761.18.3,,,P104761
12643,šu-ru-uš-ki-in[]PN,P104761.19.4,,,P104761
12644,in-ta-e₃-a[]PN,P104761.22.1,new owner,,P104761
12645,nu-ur₂-{d}suen[]PN,P104761.23.2,intermediary,dubsar[scribe]N,P104761
12646,ab-ba-sa₆-ga-ta[]PN,P332097.4.2,source,,P332097
12647,ur-{d}nin-sun₂[]PN,P332097.5.1,recipient,,P332097
12648,ur-{d}nin-sun₂[]PN,P332097.12.1,,arad[slave]N,P332097
12649,nu-ur₂-{d}suen[]PN,P111990.5.2,intermediary,dubsar[scribe]N,P111990
12650,ab-ba-sa₆-ga-ta[]PN,P123845.6.2,source,,P123845
12651,šu-{d}idim[]PN,P123845.7.1,recipient,,P123845
12652,{d}amar-{d}suen[]PN,P123845.12.2,,lugal[king]N,P123845
12653,ur-{d}šul-pa-e₃[]PN,P142143.7.1,,,P142143
12654,nir-i₃-da-gal₂[]PN,P142143.9.1,,,P142143
12655,ama-bara₂[]PN,P142143.12.1,,,P142143
12656,e₂-a-ba-ni[]PN,P142143.13.3,,ensik[ruler]N,P142143
12657,{d}šul-gi-si₂-im-ti[]PN,P142143.14.2,new owner,,P142143
12658,iš-me-dingir[]PN,P127572.5.1,,sipad[shepherd]N,P127572
12659,na-me-er-dingir[]PN,P127572.6.2,,,P127572
12660,šu-er₃-ra-ta[]PN,P127572.9.2,source,,P127572
12661,ARAD₂-mu[]PN,P212259.14.1,representative,,P212259
12662,ur-sa₆-ga-ta[]PN,P212259.16.2,source,,P212259
12663,hu-la-al[]PN,P212259.18.2,intermediary,dubsar[scribe]N,P212259
12664,hu-la-al[]PN,P212259.24.1,,dubsar[scribe]N,P212259
12665,lu₂-dingir-ra[]PN,P134783.4.2,,,P134783
12666,ur-{d}en-lil₂-la₂[]PN,P134783.6.2,,,P134783
12667,ur-{d}šul-pa-e₃[]PN,P134783.10.1,recipient,,P134783
12668,nu-ta-zi-i₃[]PN,P134783.13.1,,,P134783
12669,ur-{d}šul-pa-e₃[]PN,P134783.15.1,,dubsar[scribe]N,P134783
12670,gu-za-ni[]PN,P134783.17.2,,kurušda[fattener]N,P134783
12671,{d}nanše-GIR₂@g-gal[]PN,P103917.6.1,representative,,P103917
12672,i-gi₄-ru-um[]PN,P103917.14.2,new owner,,P103917
12673,a-bi₂-si₂-im-ti[]PN,P103917.16.1,,,P103917
12674,ARAD₂-mu[]PN,P103917.17.1,representative,,P103917
12675,ab-ba-sa₆-ga-ta[]PN,P103917.20.2,source,,P103917
12676,{d}en-lil₂-la₂[]PN,P103917.22.3,,,P103917
12677,lu₂-dingir-ra-ta[]PN,P109615.6.2,source,,P109615
12678,{d}šul-gi-iri-mu[]PN,P109615.8.1,recipient,,P109615
12679,{d}en-lil₂-la₂[]PN,P109615.11.3,,,P109615
12680,ab-ba-sa₆-ga-ta[]PN,P144245.13.2,source,,P144245
12681,nu-ur₂-{d}suen[]PN,P144245.14.1,recipient,,P144245
12682,šu-hal-un-du[]PN,P131604.4.1,,,P131604
12683,šu-ku-uk[]PN,P131604.6.1,,,P131604
12684,me-ši-ad[]PN,P131604.6.3,,,P131604
12685,{d}šul-gi-ad-mu[]PN,P131604.10.1,,ensik[ruler]N,P131604
12686,ta₂-hi-iš-še-en[]PN,P131604.13.2,,lu[person]N,P131604
12687,lu₂-dingir-ra[]PN,P131604.15.1,recipient,,P131604
12688,u₂-ze₂-nu-ru-um[]PN,P103536.8.2,intermediary,,P103536
12689,an-nu-ni-tum[]PN,P123645.4.2,,,P123645
12690,ma-šum[]PN,P123645.6.1,representative,,P123645
12691,be-li₂-du₁₀[]PN,P123645.9.1,,,P123645
12692,ARAD₂-mu[]PN,P105213.12.1,representative,,P105213
12693,hal-li₂-a[]PN,P105213.24.2,intermediary,dubsar[scribe]N,P105213
12694,nu-ur₂-{d}suen[]PN,P105213.25.2,,,P105213
12695,hal-li₂-a[]PN,P105213.37.1,,dubsar[scribe]N,P105213
12696,ur-{d}ba-ba₆[]PN,P406792.5.1,,ensik[ruler]N,P406792
12697,in-ta-e₃-a[]PN,P406792.8.1,recipient,,P406792
12698,nu-ur₂-{d}suen[]PN,P406792.11.2,intermediary,dubsar[scribe]N,P406792
12699,na-lu₅-ta[]PN,P142422.6.2,source,,P142422
12700,ur-nigar{gar}[]PN,P142422.7.1,recipient,,P142422
12701,ab-ba-sa₆-ga-ta[]PN,P108679.23.2,source,,P108679
12702,šu-er₃-ra[]PN,P108679.24.1,recipient,,P108679
12703,{d}amar-{d}suen[]PN,P108679.26.2,,lugal[king]N,P108679
12704,e-er-be-li₂[]PN,P116196.5.1,representative,,P116196
12705,a-tu-ma-ma[]PN,P116196.7.1,,,P116196
12706,ur-{d}nanše[]PN,P116196.8.2,,,P116196
12707,lu₂-dingir-ra-ta[]PN,P116196.16.2,source,,P116196
12708,{d}amar-{d}suen-ra-ki-ag₂-an-na[]PN,P116196.20.4,,,P116196
12709,lu₂-{d}nanna[]PN,P112441.9.1,,,P112441
12710,du-uk-ra[]PN,P112441.9.3,,,P112441
12711,in-ta-e₃-a[]PN,P112441.13.1,new owner,,P112441
12712,nu-ur₂-{d}suen[]PN,P112441.15.2,intermediary,dubsar[scribe]N,P112441
12713,ab-ba-sa₆-ga-ta[]PN,P330665.6.2,source,,P330665
12714,lu₂-dingir-ra[]PN,P330665.8.1,recipient,,P330665
12715,{d}amar-{d}suen[]PN,P330665.10.2,,lugal[king]N,P330665
12716,ARAD₂-mu[]PN,P391005.8.1,representative,,P391005
12717,ur-ku₃-nun-na-ta[]PN,P391005.11.2,source,,P391005
12718,{d}nanna-ma-ba[]PN,P391005.13.2,intermediary,,P391005
12719,lu₂-ša-lim[]PN,P391005.14.2,,,P391005
12720,{d}nanna-ma-ba[]PN,P391005.26.1,,dubsar[scribe]N,P391005
12721,u₂-na-ab-še-en₆[]PN,P391005.28.2,,arad[slave]N,P391005
12722,sa₃-si₂-ta[]PN,P125763.7.3,source,,P125763
12723,ab-ba-sa₆-ga-ta[]PN,P125763.10.2,source,,P125763
12724,lu₂-sa₆-ga-ta[]PN,P125763.15.2,source,,P125763
12725,amar-ma-ma-ta[]PN,P125763.18.2,source,,P125763
12726,kas₃-pu-ša-ta[]PN,P125763.19.4,source,,P125763
12727,ur-mes[]PN,P125763.26.5,intermediary,,P125763
12728,ur-mes[]PN,P211889.3.4,,,P211889
12729,sa₃-si₂[]PN,P211889.11.1,recipient,,P211889
12730,ab-ba-sa₆-ga-ta[]PN,P105912.5.2,source,,P105912
12731,in-ta-e₃-a[]PN,P105912.6.1,recipient,,P105912
12732,a₂-bi₂-li₂-a[]PN,P112276.7.1,,,P112276
12733,ur-nig₂[]PN,P134772.6.2,intermediary,dubsar[scribe]N,P134772
12734,i-pa₂-li₂-is[]PN,P134772.9.4,intermediary,,P134772
12735,al-la-mu[]PN,P134772.10.3,recipient,,P134772
12736,{d}lamma-igi-du[]PN,P134772.11.4,intermediary,,P134772
12737,nu-ur₂-{d}suen[]PN,P134772.12.3,,,P134772
12738,hu-lu-du-uk[]PN,P134772.14.4,,,P134772
12739,lu₂-{d}nin-gir₂-su[]PN,P134772.15.4,,,P134772
12740,ur-uš-gid₂-da[]PN,P134772.16.4,,,P134772
12741,da-a-a-ti[]PN,P134772.18.4,,,P134772
12742,ur-{d}nanše[]PN,P134772.19.5,,,P134772
12743,an-na-bi₂-du₁₁[]PN,P134772.20.5,intermediary,,P134772
12744,a-ha-an-ni-šu[]PN,P134772.21.6,,,P134772
12745,ur-{d}ba-ba₆[]PN,P134772.22.2,recipient,,P134772
12746,ab-ba-sa₆-ga-ta[]PN,P131945.5.2,source,,P131945
12747,lu₂-dingir-ra[]PN,P131945.6.1,recipient,,P131945
12748,{d}šul-gi-iri-mu[]PN,P107263.9.1,recipient,,P107263
12749,ur-{d}ba-ba₆[]PN,P107263.11.2,intermediary,,P107263
12750,ur-{d}ba-ba₆[]PN,P107263.21.1,,dubsar[scribe]N,P107263
12751,ur-e₂-ninnu[]PN,P107263.23.2,,arad[slave]N,P107263
12752,ur-{d}šul-pa-e₃[]PN,P104538.4.2,,,P104538
12753,ARAD₂-{d}nanna[]PN,P104538.5.1,,dubsar[scribe]N,P104538
12754,ARAD₂-{d}nanna[]PN,P104538.14.1,,dubsar[scribe]N,P104538
12755,{d}en-lil₂-la₂[]PN,P104325.10.3,,,P104325
12756,ARAD₂-mu[]PN,P104325.25.1,representative,,P104325
12757,{d}en-lil₂-zi-ša₃-gal₂-ta[]PN,P104325.28.2,source,,P104325
12758,ur-{d}šul-pa-e₃[]PN,P104325.37.1,,dubsar[scribe]N,P104325
12759,ur-{d}ha-ia₃[]PN,P104325.39.2,,arad[slave]N,P104325
12760,ur-{d}amar-{d}suen[]PN,P104101.6.1,,,P104101
12761,šeš-kal-la[]PN,P104101.8.1,recipient,,P104101
12762,en-mah-gal-an-na[]PN,P104101.10.2,,en[priest]N,P104101
12763,šu-e₂-a[]PN,P126633.3.3,,,P126633
12764,ur-šu[]PN,P126633.7.3,,,P126633
12765,ab-ba-sa₆-ga-ta[]PN,P212126.5.2,source,,P212126
12766,lu₂-dingir-ra[]PN,P212126.6.1,recipient,,P212126
12767,{d}en-lil₂-la₂[]PN,P212126.11.3,,,P212126
12768,{d}amar-{d}suen[]PN,P107736.14.2,,lugal[king]N,P107736
12769,na-sa₆-ta[]PN,P122150.23.2,source,,P122150
12770,a-hu-ni[]PN,P122150.24.1,recipient,,P122150
12771,i-bi₂-{d}suen[]PN,P332362.9.1,recipient,,P332362
12772,en-{d}nanna[]PN,P332362.13.6,,,P332362
12773,šu-i₃-li₂[]PN,P130424.7.6,intermediary,,P130424
12774,lu₂-ša-lim[]PN,P130424.10.2,intermediary,,P130424
12775,in-ta-e₃-a[]PN,P130424.11.6,intermediary,,P130424
12776,lu₂-ša-lim[]PN,P130424.13.3,intermediary,,P130424
12777,ur-ku₃-nun-na[]PN,P130424.16.5,intermediary,,P130424
12778,lu₂-ša-lim-ta[]PN,P130424.17.4,source,,P130424
12779,ur-nig₂[]PN,P130424.46.5,intermediary,,P130424
12780,šu-i₃-li₂[]PN,P130424.49.5,recipient,,P130424
12781,al-la-mu[]PN,P130424.50.4,recipient,,P130424
12782,lu₂-ša-lim[]PN,P130424.52.6,,,P130424
12783,ur-{d}en-ki[]PN,P126272.6.2,intermediary,,P126272
12784,a-hu-um[]PN,P126272.8.1,,unud[cowherd]N,P126272
12785,ur-{d}nin-zu[]PN,P126272.9.2,,,P126272
12786,ur-{d}šul-pa-e₃[]PN,P126272.11.2,intermediary,,P126272
12787,li-ik-du-ni[]PN,P126272.13.2,intermediary,,P126272
12788,lugal-KU[]PN,P126272.15.1,,unud[cowherd]N,P126272
12789,ur-{d}ba-ba₆[]PN,P126272.17.1,,unud[cowherd]N,P126272
12790,ur-{d}iškur[]PN,P126272.19.1,,unud[cowherd]N,P126272
12791,ur-{d}šul-pa-e₃[]PN,P126272.20.2,intermediary,,P126272
12792,{d}utu-bar-ra[]PN,P126272.22.1,,unud[cowherd]N,P126272
12793,li-ik-du-ni[]PN,P126272.23.2,intermediary,,P126272
12794,ba-an-zi-ge[]PN,P126272.25.1,,unud[cowherd]N,P126272
12795,a-bi₂-dingir[]PN,P126272.26.4,recipient,,P126272
12796,lu₂-uru₁₁{ki}[]PN,P126272.27.2,intermediary,ugula[overseer]N,P126272
12797,lu₂-uru₁₁{ki}[]PN,P126272.31.2,intermediary,,P126272
12798,ur-{d}en-ki[]PN,P126272.34.2,intermediary,,P126272
12799,šu-e₂-a[]PN,P126272.42.2,,kuš[official]N,P126272
12800,ur-{d}šul-pa-e₃[]PN,P126272.46.2,intermediary,,P126272
12801,lu₂-uru₁₁{ki}[]PN,P126272.48.2,intermediary,,P126272
12802,li-ik-du-ni[]PN,P126272.50.2,intermediary,,P126272
12803,lu₂-giri₁₇-zal[]PN,P126272.52.1,,nagada[herdsman]N,P126272
12804,ur-{d}šul-pa-e₃[]PN,P126272.55.2,intermediary,,P126272
12805,lu₂-uru₁₁{ki}[]PN,P126272.57.2,intermediary,,P126272
12806,a-a-kal-la[]PN,P126272.59.1,,nagada[herdsman]N,P126272
12807,šu-{d}dumu-zi[]PN,P126272.62.2,intermediary,,P126272
12808,lu₂-uru₁₁{ki}[]PN,P126272.64.2,intermediary,,P126272
12809,ur-{d}dumu-zi-da[]PN,P126272.66.1,,nagada[herdsman]N,P126272
12810,li-ik-du-ni[]PN,P126272.69.2,intermediary,,P126272
12811,lu₂-uru₁₁{ki}[]PN,P126272.71.2,intermediary,,P126272
12812,nam-ha-ni[]PN,P126272.75.1,,nagada[herdsman]N,P126272
12813,li-ik-du-ni[]PN,P126272.78.2,intermediary,,P126272
12814,a₂-nu-nu[]PN,P126272.80.1,,nagada[herdsman]N,P126272
12815,lu₂-uru₁₁{ki}[]PN,P126272.82.2,intermediary,,P126272
12816,lu₂-{d}dumu-zi-da[]PN,P126272.83.3,,nagada[herdsman]N,P126272
12817,ARAD₂-mu[]PN,P126272.87.1,,,P126272
12818,lu₂-{d}inanna[]PN,P126272.87.3,recipient,,P126272
12819,lu₂-{d}inanna[]PN,P126272.88.4,recipient,,P126272
12820,lu₂-uru₁₁{ki}[]PN,P126272.89.2,intermediary,,P126272
12821,lu₂-{d}inanna[]PN,P126272.91.1,,nagada[herdsman]N,P126272
12822,lu₅-zi[]PN,P126272.92.4,recipient,,P126272
12823,kal-la[]PN,P126272.93.4,recipient,,P126272
12824,šu-{d}nisaba[]PN,P126272.94.4,recipient,,P126272
12825,šeš-kal-la[]PN,P126272.95.4,recipient,,P126272
12826,lu₂-me-lam₂[]PN,P126272.96.4,recipient,,P126272
12827,šu-{d}da-gan[]PN,P126272.97.4,recipient,,P126272
12828,lugal-u₂-šim-e[]PN,P126272.102.2,recipient,,P126272
12829,li-ik-du-ni[]PN,P126272.108.2,intermediary,,P126272
12830,lu₂-uru₁₁{ki}[]PN,P126272.110.2,intermediary,,P126272
12831,an-ne₂-mu[]PN,P126272.112.1,recipient,,P126272
12832,ur-ku₃-ga[]PN,P126272.113.2,,kuš[official]N,P126272
12833,ta[]PN,P126272.128.3,source,,P126272
12834,ur-{d}suen[]PN,P105140.7.1,,,P105140
12835,nu-ur₂-eš₁₈-dar[]PN,P105140.8.3,,sukkal[secretary]N,P105140
12836,i-ti-ib-si-na-at[]PN,P105140.9.3,,,P105140
12837,na-sa₆[]PN,P105140.15.1,new owner,,P105140
12838,ur-{d}ba-ba₆[]PN,P109556.5.1,recipient,,P109556
12839,lu₂-dingir-ra[]PN,P109556.9.2,,,P109556
12840,amar-šuba[]PN,P125923.5.1,,,P125923
12841,dingir-il-su[]PN,P125923.11.2,,,P125923
12842,amar-šuba[]PN,P125923.15.1,recipient,,P125923
12843,amar-šuba-ta[]PN,P125923.17.2,source,,P125923
12844,dingir-dingir-su[]PN,P125923.19.1,recipient,,P125923
12845,dingir-dingir-su-ta[]PN,P125923.21.2,source,,P125923
12846,dingir-dingir-su[]PN,P125923.24.1,recipient,,P125923
12847,dingir-dingir-su-ta[]PN,P125923.25.2,source,,P125923
12848,ab-ba-sa₆-ga-ta[]PN,P144178.9.2,source,,P144178
12849,lu₂-dingir-ra[]PN,P144178.10.1,recipient,,P144178
12850,na-lu₅-ta[]PN,P107868.10.2,source,,P107868
12851,{d}šul-gi-iri-mu[]PN,P107868.11.1,recipient,,P107868
12852,ab-ba-sa₆-ga-ta[]PN,P235927.5.2,source,,P235927
12853,in-ta-e₃-a[]PN,P235927.6.1,recipient,,P235927
12854,{d}šul-gi-ba-ni[]PN,P107741.3.3,,šabra[administrator]N,P107741
12855,lu₂-bala-sa₆-ga[]PN,P107741.4.3,,dikud[judge]N,P107741
12856,a-da-tum[]PN,P107741.7.3,,šakkanak[general]N,P107741
12857,ha-ba-lu₅-ge₂[]PN,P107741.9.3,,ensik[ruler]N,P107741
12858,a-bu-ni[]PN,P107741.12.3,,,P107741
12859,šar-ru-um-i₃-li₂[]PN,P107741.13.3,,,P107741
12860,ur-{d}šul-gi[]PN,P107741.14.3,,,P107741
12861,{d}šul-gi-ra[]PN,P107741.16.2,new owner,,P107741
12862,a-hu-ni[]PN,P107741.17.1,recipient,,P107741
12863,a-bu-bu[]PN,P107741.18.2,intermediary,,P107741
12864,{d}amar-{d}suen[]PN,P107741.20.2,,lugal[king]N,P107741
12865,i-zi-na-sag₁₀[]PN,P122692.10.1,recipient,,P122692
12866,lugal-a₂-zi-da[]PN,P115540.7.2,,,P115540
12867,id-ni-in-{d}suen[]PN,P115540.9.4,,,P115540
12868,id-ni-in-{d}suen[]PN,P115540.13.2,,,P115540
12869,li-ša-num₂[]PN,P100320.6.2,,ensik[ruler]N,P100320
12870,{d}šul-gi-iri-mu-ta[]PN,P100320.7.2,source,,P100320
12871,ab-ba-sa₆-ga[]PN,P100320.11.1,new owner,,P100320
12872,lu₂-dingir-ra-ta[]PN,P115839.14.2,source,,P115839
12873,ur-nigar{gar}[]PN,P115839.15.1,recipient,,P115839
12874,{d}amar-{d}suen[]PN,P125022.6.3,,,P125022
