,name,role,profession,p_index
266,ur-{d}nin-geš-zi-da,reciever,NA,112980
267,lugal-im-ru-a-ta,source,NA,112984
268,ur-{d}nin-geš-zi-da,reciever,NA,112984
269,ur-{d}nin-geš-zi-da-ta,source,NA,112986
270,lugal-im-ru-a,reciever,NA,112986
271,ur-kun-ta,source,NA,112994
272,lu₂-bi-mu?,reciever,NA,112994
273,a-tu-ta,source,NA,113132
274,gu₃-de₂-a,reciever,NA,113132
275,ba-zi-ta,source,NA,113317
276,ur-{d}en-lil₂,reciever,NA,113317
277,ur-e₂-gal-ta,source,NA,113327
278,[ur-ab-ba],reciever,NA,113327
279,lu₂-dingir-ra-ta,source,NA,113353
280,lugal-ezem,reciever,NA,113353
281,lugal-[du₆]-ku₃-ta,source,NA,113425
282,nig₂-sa₆-ga,reciever,NA,113425
283,lu₂-giri₁₇-zal-ta,source,NA,113437
284,ur#-mes,reciever,NA,113437
285,ur-{d}nin-geš-zi-da-ta,source,NA,113561
286,ur-nig₂,reciever,NA,113561
287,ur-{d}li₉-si₄-ta,source,NA,113680
288,la-a-mu,reciever,NA,113680
289,ARAD₂-ta,source,NA,113695
290,ur-dingir-ra,reciever,NA,113695
291,ARAD₂-ta,source,NA,113708
292,ur-mes,reciever,NA,113708
293,ur-{d}ma-mi-ta,source,NA,113767
294,a-kal-la,reciever,NA,113767
295,{d}šara₂-kam-ta,source,NA,113794
296,ba-ba-ti,reciever,NA,113794
297,lugal-e₂-mah-e-ta,source,NA,113982
298,ur#-balag,reciever,NA,113982
299,lu₂-{d}en-lil₂-la₂-ta,source,NA,114006
300,lu₂-du₁₀-ga,reciever,NA,114006
301,da-da-a-ta,source,NA,114009
302,lu₂-{d}nin-šubur,reciever,NA,114009
303,pa₃-da,source,NA,114084
304,lugal-ezem,reciever,NA,114084
305,šeš-kal-<la>-ta,source,NA,114310
306,lugal-ezem,reciever,NA,114310
307,ba-zi-ta,source,NA,114370
308,ur-{d}nanše,reciever,NA,114370
309,lugal-a₂-zi-da-ta,source,NA,114381
310,ur-nig₂,reciever,NA,114381
311,lu₂-giri₁₇-zal!-ta,source,NA,114391
312,šer₇-da-du₃,reciever,NA,114391
313,lu₂-{d}inanna-ta,source,NA,114409
314,ku₅-da,reciever,NA,114409
315,lu₂-sa₆-sa₆-ta,source,NA,114523
316,gu₂-u₃-gu,reciever,NA,114523
317,a-hu-a-ta,source,NA,114611
318,ur-{d}ba-ba₆,reciever,NA,114611
319,ad-da-mu-ta,source,NA,114632
320,ur-{d}lamma,reciever,NA,114632
321,nin-a-na-ta,source,NA,114642
322,ba-a,reciever,NA,114642
323,ad-da-mu-ta,source,NA,114648
324,lu₂-gi-na,reciever,NA,114648
325,ab-ba-kal-la-ta,source,NA,114678
326,lu₂-{d}en-lil₂-la₂,reciever,NA,114678
327,ad-da-mu-ta,source,NA,114842
328,lugal-iri-da,reciever,NA,114842
329,ur-šu-ga-lam-ma-ta,source,NA,114879
330,lu₂-{d}nin-šubur,reciever,NA,114879
331,lu₂-{d}nin-tu-ta,source,NA,115010
332,ur-ki-siki-ka,reciever,NA,115010
333,ad-da-mu-ta,source,NA,115129
334,ur-mes,reciever,NA,115129
335,ur-{d}lamma-ta,source,NA,115158
336,ur-{d}dam-gal-[nun],reciever,NA,115158
337,ad-da-mu-ta,source,NA,115350
338,gu₃-de₂-a,reciever,NA,115350
339,SI-A-a-ta,source,NA,115556
340,dingir-ba-ni,reciever,NA,115556
341,ur-{d}šuš₃-{d}ba-ba₆-ta,source,NA,115655
342,ba-sa₆-ga,reciever,NA,115655
343,eš₃-am₃-ta,source,NA,115661
344,lu₂-{d}nin-šubur,reciever,NA,115661
345,[ur-{d}ig-alim,reciever,NA,115704
346,ur-e₂-gal-ta,source,NA,115704
347,ur-{d}nanše-ta,source,NA,115764
348,lu₂-{d}nin-šubur,reciever,NA,115764
349,ur-{d}nin-geš#-zi-da-ta,source,NA,115800
350,ur-gu₂-en-na,reciever,NA,115800
351,sag-ku₅-ta,source,NA,115818
352,lu₂-{d}nin-šubur,reciever,NA,115818
353,lugal-iti-da-ta,source,NA,115821
354,a-kal-la,reciever,NA,115821
355,ur-{d}nin-tu-ta,source,NA,115824
356,i₃-kal-la,reciever,NA,115824
357,šeš-da-da-ta,source,NA,115923
358,ma-ba-e,reciever,NA,115923
359,lu₂-banda₃{da}-ta,source,NA,115967
360,šeš-kal-la,reciever,NA,115967
361,ba-zi-ge-ta,source,NA,116003
362,lu₂-gi-na,reciever,NA,116003
363,ur-{d}nanše-ta,source,NA,116036
364,lu₂-ma₂,reciever,NA,116036
365,lu₂-kisal,source,NA,116053
366,ku₅-da,reciever,NA,116053
367,ur-{d}nin-geš-zi-da-ta,source,NA,116258
368,ur-{d}[šul-pa]-e₃,reciever,NA,116258
369,ba-zi-ta,source,NA,116325
370,ur-mes,reciever,NA,116325
371,na-ba-sa₆-ta,source,NA,116355
372,ur-mes,reciever,NA,116355
373,na-silim-ta,source,NA,116441
374,ur-nig₂,reciever,NA,116441
375,i₃-kal-la-ta,source,NA,116448
376,ur-{d}nanše,reciever,NA,116448
377,ur-{d}lamma,source,NA,116470
378,ur-{d}en-lil₂-la₂-ke₄,reciever,NA,116470
379,lu₂-{d}ba-ba₆,reciever,NA,116502
380,ur-{d}ba-ba₆-ta,source,NA,116502
381,lu₂-{d}nin-gir₂-su-ta,source,NA,116547
382,ur-{d}ga₂-tum₃-du₁₀,reciever,NA,116547
383,ur-{d}hendur-sag-ta,source,NA,116557
384,ur-nigar{gar},reciever,NA,116557
385,gu₃-de₂-a-ta,source,NA,116586
386,ma-ni,reciever,NA,116586
387,lu₂-{d}nin-gir₂#-su-ta,source,NA,116597
388,ur-e₂-ninnu,reciever,NA,116597
389,ur-{d}nu-muš-da-ta,source,NA,116612
390,lu₂-gi-na,reciever,NA,116612
391,šeš-kal-la-ta,source,NA,116633
392,a-ab-ba,reciever,NA,116633
393,lu₂-{d}nin-šubur,source,NA,116646
394,lu₂-uru₁₁?!,reciever,NA,116646
395,lu₂-{d}na-ru₂-a-ta,source,NA,116661
396,lu₂-{d}ba-ba₆,reciever,NA,116661
397,lu₂-{d}nin-gir₂-su-ta,source,NA,116662
398,lu₂-{d}geš-bar-e₃,reciever,NA,116662
399,am₃-ma-ta,source,NA,116674
400,ša₃-da,reciever,NA,116674
401,ur-ba-gara₂-ta,source,NA,116684
402,ur-{d}ig-alim,reciever,NA,116684
403,ur-sa₆-ga-ta,source,NA,116696
404,lu₂-e₂-a,reciever,NA,116696
405,ba-zi-ta,source,NA,116705
406,ur-nigar{gar},reciever,NA,116705
407,ur-{d}nanše-ta,source,NA,116716
408,ur-{d}dumu-zi,reciever,NA,116716
409,da-da-ga-ta,source,NA,116774
410,a-kal-la,reciever,NA,116774
411,na-lu₅#-ta,source,NA,116820
412,ku₃-ga-ni,reciever,NA,116820
413,lu₂-dingir-ra-ta,source,NA,116829
414,ur-nigar{gar},reciever,NA,116829
415,lu₂-dingir-ra-ta,source,NA,116832
416,ur-nigar{gar},reciever,NA,116832
417,lu₂-dingir-ra-ta,source,NA,116841
418,ur-nigar{gar},reciever,NA,116841
419,ARAD₂-ta,source,NA,116954
420,{d}šara₂-kam,reciever,NA,116954
421,ARAD₂-ta,source,NA,117441
422,ur-dingir-ra,reciever,NA,117441
423,ur-{d}ba-ba₆-ta,source,NA,117447
424,lu₂-{d}nanna,reciever,NA,117447
425,inim-{d}šara₂,source,NA,117490
426,a-kal-la,reciever,NA,117490
427,ze₂-eb-ra-am-ta,source,NA,117513
428,nin-u₃-kul-ki-ag₂,reciever,NA,117513
429,ur-šu-ga-lam-ma-ta,source,NA,117574
430,na-ba-sa₆,reciever,NA,117574
431,{d}nanna-i₃-gi-ta,source,NA,117652
432,ba-a-mu#,reciever,NA,117652
433,e₂-gal-e-si-ta,source,NA,117694
434,lugal-ezem,reciever,NA,117694
435,na-u₂-a-ta,source,NA,117707
436,a-kal-la,reciever,NA,117707
437,ur-sila-luh-ta,source,NA,117725
438,a-du,reciever,NA,117725
439,ur-ru-ta,source,NA,117743
440,a-du,reciever,NA,117743
441,lu₂-igi-sa₆-sa₆-ta,source,NA,117749
442,ur-{geš}gigir,reciever,NA,117749
443,ARAD₂-ta,source,NA,117758
444,a-kal-la,reciever,NA,117758
445,ur-ru-ta,source,NA,117763
446,a-kal-la,reciever,NA,117763
447,lu₂-kal-la-ta,source,NA,117770
448,a-kal-la,reciever,NA,117770
449,ur-ru-ta,source,NA,117806
450,a-kal-la,reciever,NA,117806
451,lugal-a₂-zi-da-ta,source,NA,117830
452,a-kal-la,reciever,NA,117830
453,ur-{d}suen-ta,source,NA,117836
454,ur-{d}iškur,reciever,NA,117836
455,ARAD₂-ta,source,NA,117842
456,lu₂-sa₆-i₃-zu,reciever,NA,117842
457,i₃-kal-la-ta,source,NA,117905
458,{d}šul-gi-iri-mu,reciever,NA,117905
459,a-du,source,NA,117917
460,i₃-kal-la,reciever,NA,117917
461,a-du-ta,source,NA,118275
462,i₃-kal-la,reciever,NA,118275
463,ur-{d}šul-pa-e₃-ta,source,NA,118294
464,gur₄?-za-an,reciever,NA,118294
465,{d}šara₂-kam-ta,source,NA,118313
466,za-ni-a,reciever,NA,118313
467,ma-an-ba,source,NA,118358
468,ha-lu₅-lu₅,reciever,NA,118358
469,ARAD₂-ta,source,NA,118370
470,ur-{geš}gigir,reciever,NA,118370
471,ša₃-ku₃-ge-ta,source,NA,118502
472,ur-e₁₁-e,reciever,NA,118502
473,ur-{d}šul-pa-e₃-ta,source,NA,118712
474,lugal-ku₃-zu,reciever,NA,118712
475,ša₃-ku₃-ge-ta,source,NA,118715
476,i₃-kal-la,reciever,NA,118715
477,ur-{d}nin-tu-ta,source,NA,118727
478,i₃-kal-la,reciever,NA,118727
479,ur-{d}nin-tu-ta,source,NA,118803
480,i₃-kal-la,reciever,NA,118803
481,ur-mes-ta,source,NA,118817
482,er₃-re-eb,reciever,NA,118817
483,lugal-nig₂-lagar-e-ta,source,NA,118910
484,ukken-ne₂,reciever,NA,118910
485,ur-{d}nin-tu-ta,source,NA,118967
486,i₃-kal-la,reciever,NA,118967
487,e₂-lu₂-bi-su₂-ta,source,NA,118970
488,gu-du-du,reciever,NA,118970
489,ur-{d}nin-tu-ta,source,NA,119000
490,i₃-kal-la,reciever,NA,119000
491,ur-geš-ta,source,NA,119211
492,uš-mu,reciever,NA,119211
493,in-sa₆-sa₆-ta,source,NA,119347
494,di-ni-li₂,reciever,NA,119347
495,er₃-e-eb-ta,source,NA,119370
496,ukken-ne₂,reciever,NA,119370
497,ba-za-ta,source,NA,119521
498,a-du-du,reciever,NA,119521
499,šeš-kal-la-ta,source,NA,119670
500,ur-{d}lamma,reciever,NA,119670
501,šeš-kal-la-ta,source,NA,119778
502,ur-sila-luh,reciever,NA,119778
503,ukken-ne₂-ta,source,NA,120410
504,a-kal-la,reciever,NA,120410
505,ur-{d}]li₉#-si₄-ta,source,NA,120516
506,[u₃-ma-ni],reciever,NA,120516
507,ARAD₂-ta,source,NA,120532
508,ur-nigar{gar},reciever,NA,120532
509,ur-{d}suen-ta,source,NA,120538
510,nin-mu-<ma>-ag₂-e,reciever,NA,120538
511,gu-du-du-ta,source,NA,120552
512,al-lu,reciever,NA,120552
513,ur-nigar{gar},source,NA,120680
514,da-da-ga,reciever,NA,120680
515,lugal-inim-gi-na-ta,source,NA,120787
516,ur-nigar-mu,reciever,NA,120787
517,a₂-zi-da-ta,source,NA,120964
518,šu-aš₂-li,reciever,NA,120964
519,nigar{gar}-ki-<du₁₀>-ta,source,NA,121067
520,me-sur-ra,reciever,NA,121067
521,ur-{d}nusku-ta,source,NA,121315
522,ad-da-kal-la,reciever,NA,121315
523,er₃-re-eb-ta,source,NA,121532
524,kur-ša-num₂,reciever,NA,121532
525,{d}lamma-igi-du-ta,source,NA,121544
526,lu₂-sukud-ra₂,reciever,NA,121544
527,ri-ib?-um-ta,source,NA,121595
528,a-gu-a,reciever,NA,121595
529,lugal-a-ni-sa₆-ta,source,NA,121713
530,i₃-kal-la,reciever,NA,121713
531,ur-e₁₁-e-ta,source,NA,121756
532,a-kal-la,reciever,NA,121756
533,ha-da-da,reciever,NA,121859
534,ur-{d}sag-ku₅-ta,source,NA,121859
535,inim-{d}šara₂-ta,source,NA,121868
536,lu₂-du₁₀-ga,reciever,NA,121868
537,šeš-kal-la-ta,source,NA,121910
538,ku₃-ga-ni,reciever,NA,121910
539,a-kal-la,reciever,NA,122015
540,lu₂-dingir-ra-ta,source,NA,122015
541,ur-{d}nin-tu-ta,source,NA,122077
542,i₃-kal-la,reciever,NA,122077
543,na-u₂-a-ta,source,NA,122080
544,i₃-kal-la,reciever,NA,122080
545,lugal-nir-ta,source,NA,122128
546,ur-{d}šul-pa-e₃,reciever,NA,122128
547,da-da-<ga>,source,NA,122175
548,ur-{d}šu-{d}suen,reciever,NA,122175
549,a-hu-ni-ta,source,NA,122193
550,ur-nigar{gar},reciever,NA,122193
551,a-ab-ba-ta,source,NA,122201
552,ur-mes,reciever,NA,122201
553,ur-{d}šul-pa-e₃-ta,source,NA,122359
554,i₃-la₂-la₂,reciever,NA,122359
555,ur-{d}suen-ta,source,NA,122368
556,ur-lugal,reciever,NA,122368
557,a-kal-la-ta,source,NA,122610
558,da-da-ga,reciever,NA,122610
559,lu₂-dingir-ra-ta,source,NA,122635
560,ur-nigar{gar},reciever,NA,122635
561,a-hu-ni-ta,source,NA,122665
562,ur-nigar{gar},reciever,NA,122665
563,šu-er₃-ra-ta,source,NA,122883
564,dingir-ba-ni,reciever,NA,122883
565,SI-A-a,source,NA,122903
566,be-li₂-sipa,reciever,NA,122903
567,SI-A-a-ta,source,NA,122906
568,a-da-lal₃,reciever,NA,122906
569,ur-{d}ba-ba₆-ta,source,NA,122952
