name,number of transactions
ur-eš₃-ku₃-ga,3
ar-wi-lu-ug-bi,3
{d}]amar#-{d}suen,3
ur-lugal,3
engar-du₁₀,3
i₃-li₂-an-dul₃,3
e₂-ki-gal-la,2
me#-{d}ištaran,2
hu-nu-nu-ur,2
lu₂-{d}nin-sun₂,2
lu₂-ama-na,2
a-za,2
a-hu-a-li₂,2
ur-{d}gubalag,2
lu₂-an-dul₃,2
suhuš-gi-in,2
er₃-{d}nanna,2
za-la-a,2
ku-ru-ub-er₃-ra,2
a-da-na-ah,2
a-bi₂-a-mu-ti,2
igi-gun₃?,2
{d}utu-illat,2
na-sa₆-ra,2
e₂-kisal,2
ku₃-{d}šara₂,2
[{d}]amar#-{d}suen,2
še-il-ha,2
IŠ,2
nin-ga₂,2
en-um-eš₁₈-dar,2
i-šar-be-li₂,2
za-a-num₂,2
lu₂-sa₆-i₃-zu,2
a₂-bi₂-la-tum,2
{d}i-bi₂-[{d}]suen,2
lu₂#-{d}nanna,2
a-ki-a,2
{d#}en#-ki#,2
šu-{d}nisaba,2
[...]-gal,2
en-nam-i₃-li₂,2
lu₂#-u₁₈-um,2
al-la-ša-ru-um,2
šu-{d}ma-mi-tum,2
{d}šul-gi-re,2
id-ni-in-{d}suen,2
[ur]-mes,2
šu-{d}dumu-zi,2
šu-{d}šul-[gi],2
na]-ap-la-num₂,2
an-ne₂,2
a-ad-da,2
bi₂-bi₂,2
ša-at#-{d#}šu#-{d#}suen#,2
hu-ma-za,2
me-{d}šul-gi,2
bu₃-lu₅-lu₅,2
HI-da,2
lugal-nig₂-lagar-e,2
ul-lam-še-en,2
ma-di₃-na-ad,2
ur-al-la,2
na-na-u₃,2
{d}x-{d}]suen,2
ur-e₂-a,2
{d}amar-{d}suen-ke₄,2
i-su₂-a-ri₂-ik,2
nu-uk-ra-nu-um,2
dingir-ki-ma-at,2
{d}nanna-i₃-gi-in,2
{d#}amar#-[{d}]suen#,2
i₃-lal₃-lum,2
{d}šul-gi-mi-šar,2
ur#-mes#,2
{d}en-lil₂-zi-ša₃-gal₂-še₃,2
lu₂-me-lam₂,2
ba-[...],2
la-ma-ša,2
lu₂-sa₆-[ga],2
šeš-da-da#,2
{d}amar-{d}suen-na-ra-am-{d}en-lil₂,2
lu₂-sukkal-an-ka,2
zu-bu-uš,2
šu-ti-ru-um,2
lu₂-{d}nin-gir₂-[su,2
lugal-i₃-di₃,2
{d}be-la-at-suh-ne-er,2
a-mur-{d}šul-gi,2
ma-na-ma-tum,2
hu-wa-wa,2
ur-e₁₁-e,2
{d}nin-gir₂-su-ka-i₃-sa₆,2
ba-er,2
{d#}amar-{d}suen#,2
ar-bi-ma-az-bi,2
{d}be-la-at-suh₆-ner,2
šu-ga-tum,2
{d}suen!-a-bu-šu,2
[{d}]šul-gi-{d}lamma-mu,2
lu₂-{d}nanše,2
ab-ba-sa₆-ga-<ta>,2
i₃-u₃-ša-na-ag₂,2
ur-{d}namma,2
{d}utu-GIR₂@g-gal,2
a-da-tum,2
it-ra-ak-i₃-li₂,2
[lu₂-{d}nin-gir₂-su,2
ulu₃-di,2
a-ba-{d}en-lil₂-[gin₇,2
ba-ri-a-šum,2
hu-ba-a,2
a-bu-um-dingir,2
šeš#-kal-la,2
dingir-li-li₂,2
{d}en-lil₂-a₂-mah,2
ba-x,2
i-din-i-šum,2
tu-li-id-{d}utu-ši,2
lu₂-u₁₈]-um,2
be-li₂-kal,2
lu₂-bi-mu,2
na#-sa₆,2
an-hi-ir,2
ur-{d}nisaba,2
eš₃-gi-na,2
ur-mu,2
a-hu-[...],2
ur-{d}nin-šubur,2
ha-la-ti,2
e₂-a-šar,2
lu₂-{d}nin-[gir₂]-su,2
a-za-ba-an,2
za-ri₂-qum,2
a-wa-at-i₃-li₂,2
i-šar-i₃-li₂,2
ur-du₆-ku₃-ga,2
i-za-nu-um,2
[maš-tur,2
i₃-kal-la,2
ur-nigar[{gar}],2
ša-lim-a-hu-um,2
[nu]-ur₂-{d}iškur,2
[šeš]-da-da,2
na-sa₆#,2
{d}nanna-ma-an-ba,2
ur-{d}ba#-ba₆#,2
hu-ba,2
{d}nanna-dalla,2
be-li₂-a-zu,2
be-li₂-a-ri₂-ik,2
dam-ga-na#?,2
{d}ku-ku,2
en-me-zi-an-na,2
wi-ti-ma-aš-hi,2
[...]-da,2
lu₂-{d}[nin-gir₂]-su,2
ad-lal₃,2
giri₃-ni,2
i-di₃-zu,2
lu₂-[...,2
u₃-ga,2
i-din-dingir,2
lugal-a₂-zi#-da,2
ur-ra,2
lugal-si-sa₂,2
bu-la-mu,2
en-e,2
AŠ,2
{d}šul-gi-nu-ri,2
ta,2
nu-ur₂-{d}šul-gi,2
me-ra-ah-{d}šul-gi,2
ha-ar-bi₂-in,2
nin-kur,2
[nu]-ur₂-{d}suen,2
a-hu-um-ma,2
dingir-su-ra-bi₂,2
[in]-ta-e₃-a,2
lugal-dub-sar,2
[{d}]en#-lil₂-la₂,2
ku-ru-ub-e₂-a,2
nu-ur₂-{d}suen],2
{d}da-gan-a-bu,2
lugal-an-ne₂,2
ur-ti,2
nu-ur₂-{d}iškur#,2
sag-{d}nanna-zu,2
ra-ab-hu-ti,2
ga-ba-ba,2
da-bad₃-da,2
ad-da-tur,2
li-bur-be-li₂,2
bur-{d}iškur,2
nu-banda₃-gu₄,2
i₃-li₂-a,2
mu-ša,2
ig-kid,2
ur-{d}dam-gal-nun-<na>,2
pa₃-da,2
šeš-da-[da,2
bu-lu-lu,2
ur-{d}ba-ba₆-ke₄,2
la-a-a,2
{d}nanna-ma!-ba,2
{d}šul-gi-dan,2
{d}ša-u₁₈-ša,2
{d}nin-isin₂?{si}-na,2
šu-na-bar,2
pa₃-da-mu,2
a₂-bi₂-la-num₂,2
kal-i₃-li₂,2
a-mi-ir-{d}šul-gi,2
za-na-a,2
pu-šu-ki-in,2
ta₂-bur-PA-tum,2
[ur-{d}]ba-ba₆,2
ha-ba-ba-tum,2
{d}šu-{d}suen-dingir,2
lu₂-{d}en-lil₂-la₂,2
lu₂-du₁₀-ga-mu,2
maš-gu-la,2
še-le-bu-um,2
lu₂-{d}šul-gi-ra,2
{d}iškur-ba-ni,2
{d}nanna-i₃-sa₆,2
ur-{d}suen#,2
e-la-ak-nu-id,2
an-na-tal,2
e₂-u₆-e,2
iq-bi₂-dingir,2
tu-li₂-id-{d}utu-ši,2
ur]-nigar{gar},2
ri₂-ba-a,2
an-ne₂-ba,2
na-ap-li₂-is-e₂-a,2
na-a-na,2
i₃-li₂-tab-ba,2
ur-{d}hendur-sag,2
ip-hu-ha,2
da-a-da,2
i-tu-ri-a,2
[...]-du,2
dingir#-dan,2
ukken-ne₂,2
a-al-la,2
kal-{d}amar-{d}suen,2
i-di₃-i-šum,2
{d}en-lil₂#-la₂,2
lu₂-x,2
šu-dur-ul₃,2
[ip]-qu₂-ša,2
[...]-ga#,2
ur-{d}šul-pa-e₃#,2
bi₂-du₁₁-i₃-sa₆,2
i-mi-id-eš₁₈-dar,2
a-da-lal₃!,2
ši-la-ti-ir,2
na-lu₅#,2
[na-sa₆],2
i-gi₄,2
tu-ra-am-i₃-li₂,2
i₃-li₂-ma-al-ki,2
ur-{d}[lamma,2
{d}amar]-{d}suen,2
ar-ši-ku-uk-bi,2
lu-lu-bu-um,2
{d#}amar#-{d#}suen#,2
ma-na-a,2
edin-e-ki-ag₂,2
lu₂-gu-la,2
du-li-a,2
lugal-ma₂-gur₈-[re],2
ik-šu-dum,2
ba-a,2
i-ba-ti,2
lugal-me-lam₂#,2
zi-ib-na-tum,2
lu₂-sukkal,2
a-a-kal-[la,1
da-ri₂-iš-ma-tum,1
lu₂-x-x,1
ša-lu,1
ku₅-da,1
tu-li₂-id-{d}utu,1
ma₂-sa₆-sa₆,1
ur-ku₃-nun-na#,1
[x-{d}]ig-alim,1
sal?-mah,1
a-ba-nam-tag-in-BAD,1
dingir-illat,1
[...]-ar!,1
u₂-la-i-li₂?-iš,1
ur-{d}geštin-an-ka,1
za-a-an-nu-um,1
ku-zu-zu,1
ha-ba-an-zi-zi,1
za-li-a,1
ur-ku₃-nun-na-ka,1
da-hu-ni,1
<la₂>-NI,1
hu-un-hur-ti,1
lugal-amar-ku₃-ta#,1
ur-tilla₂!,1
zu₂-ga-li,1
zu-la-ti,1
lu₂-x-[...],1
a₂-du-du,1
[a₂]-bi₂-la-num₂,1
ad?-da-kal-la,1
hi-li,1
ša-ši-ku-na,1
li#-<bur>-{d}šul-gi,1
ku₃-ga-ni,1
pu-hi-i₃-zi,1
ur-[{d}šul]-pa-e₃,1
ši-bu-ur₂-ti,1
lu₂-sa₆,1
kas₃-pi-ša,1
er₃-ra-na#-[da,1
giri₃-ni-i₃#-sa₆,1
ka-u₂-ka,1
i-mi-id-eš₁₈?-dar?,1
nin-ne-na-ba,1
šu-ur-šu,1
a₂-u₂-u₂,1
i-ri-ib₂,1
muš-lah₅,1
ša-lim-nu-ri-šu,1
a₂-an-za,1
ša-at-{d}suen#,1
hu-un-ha-ad,1
i₃-li₂-mah-ri₂,1
{d}šul#-gi#-a#-a#-mu#-[ta],1
ku-na-ma#-tum,1
[la-na,1
gi-ne₂,1
wa]-ta₂#-ru-um,1
[{d}šul]-gi#-si₂-im-ti#,1
me-{d}ištaran#,1
{d#}amar-{d#}suen#,1
a₂#-ge₆#-ba-a,1
{d}en-[lil₂-zi]-ša₃-gal₂,1
lugal-inim-gi-na#?,1
giri₃-ni#-i₃-sa₆,1
ur]-{d}lamma,1
al#-la#-x,1
ra#-ši#,1
lu₂#-{d}šara₂,1
iš-me-er₃-ra,1
ur-{d}[šul]-pa-e₃,1
[a?]-bu-du₁₀,1
en]-mah#-gal-[an-na,1
be-li₂-a-ri₂-ik#,1
li-ba-an-<aš>-gu-bi,1
{d}]en#-[lil₂-la₂],1
i-tur₂-dingir,1
ma-num₂{um}-ki-{d}šul-<gi>,1
gu-[za-ni,1
ur-ku₃-nun-<na>,1
ab-ba-[sa₆]-ga,1
[en-mah]-gal-an-[na,1
en]-mah-gal-an-na,1
ARAD₂-{d}ba-ba₆,1
lugal-inim#-[gi]-na#,1
šu-ni-an-nam,1
i-šar-kur-ba-aš,1
igi-kar₂?,1
[{d}]nanna#-igi-du,1
sipa-si-ni,1
nu#-ur₂-{d}suen,1
i₃-li₂-ba-ni,1
nig₂-du₁₁-ga-ni,1
na-me-er-dingir?,1
{d}nu-ur₂-{d}suen,1
[na]-ap-la-num₂?,1
in#-ta-e₃-a-ta#,1
la-ab-ti-il,1
na-ab-[la-nu]-um#,1
e-la-nu-um,1
wa-ta₂-ru-[um,1
amar-zi-mu,1
{d}ša₃-ge-pa₃-da,1
mah-ha-[ni-bi],1
[ur]-nig₂,1
UŠ-a-a,1
ki-a-x,1
a-da#-a,1
[ha]-ba-ba-tum,1
{d}nanna-ma#-ba,1
a#-[hu-ni,1
[na-lu₅],1
KA-[...],1
da-a-zi-te,1
a-u₃-da-il,1
i-za,1
[ur]-{d}lamma,1
ha-ab-ru,1
ur-su,1
a-ba-ar-du-uk,1
en-ne₂,1
al-la#-mu,1
nu]-ur₂-eš₁₈?-dar?,1
lu₂-{d}[...],1
la-tu?-ra-ma,1
ku₃?-gi-li,1
ur-{d}nin-a-zu,1
mun-gazi,1
ha-ri-iš-hu-un,1
zu-ur₂-zu-ra,1
i₃-la-la,1
ba-na-nu-um,1
{d}inanna-zi-mu,1
šu-ku-uk,1
nu?-ri-lugal?,1
e-er-{d}iškur,1
ha-ba-ba,1
ur-ku₃-nun-[na],1
a-wi-te-el₄,1
{d#}en-lil₂-zi-ša₃-gal₂,1
a₂-{d}inanna,1
na#-x,1
da-[...],1
a-bi₂-a-bi₂-ih,1
si-<la>,1
{d}[en-lil₂]-la₂#,1
er₃-šu-ti-dingir,1
{d}nin-šubur-an-dul₃,1
dingir-DI?-ma-at,1
e-tu-um,1
a-bi₂-zu,1
lugal-ušur₃,1
u₂-la-i-li₂-iš,1
in-gu-du,1
{d}ba-ba₆-da-nu-me-a,1
a-da-lal₃?,1
[...]-da#!,1
ama-[zi-mu],1
da-ga,1
muš-da-nu-um,1
du-du-še₃,1
i-šum-ba-ni#,1
ba-za-ti-a,1
ba-ba-za,1
ur-{d}kal-kal,1
lugal-dab₅,1
[{d}šul]-gi-i₃-li₂,1
bi₂-na-tum,1
{d}en-lil₂-la₂#,1
i-za-ri-iq,1
la-e-ri-hu-um,1
lu₂-dingir-[x],1
ša-at-[{d}]suen,1
ur-pu₂-mun-na,1
ur-{d}a-šar₂,1
u₂-la-e-ni-iš,1
a-al-la-mu,1
e₂-x,1
la-u₃-ma-nu-um,1
zi-ib-ni-tum,1
ARAD₂-[x,1
lugal-an-na-ab-tum₂,1
{d}šul-<gi>-a-a-mu-[ta,1
ur-tur-ra,1
nin-šuba₃,1
lu₂?-dingir-ra,1
gar₃-dingir,1
[ur]-{d}da-mu,1
ad-[...],1
ni-in-mu,1
lugal-iti!-da,1
u₂-še₃-i₃-li₂,1
me-nigar{gar},1
a!-hu-ni,1
lu₂-{d}da-mu!?,1
ur-ab-ba,1
[...]-eš₁₈-dar,1
du₁₁#-ga#-zi-da,1
ne-ra-ti,1
[...]-ka#,1
{d}nin-lil₂-tum-zi-nu-šu,1
lugal-za₃-ge-si,1
ur-ad-gi₄-gi₄,1
gab₂-us₂,1
[igi-kar₂,1
[la-a-a,1
ša#-at#-{d}šu#-{d#}suen#,1
šu-lu₂-um?,1
ur-{d}]ba-ba₆,1
su₂-su₂-wa-da-ar,1
a-bi₂-du₁₀,1
a-na-tum,1
a#-hu#-ma,1
{d}]amar-{d}suen,1
a-an-na-ti,1
šeš#-da-da,1
a-ši-ri₂-da,1
nu-[ur₂-{d}x,1
geme₂-{d}en-lil₂-[la₂],1
šar-ru-um-[i₃]-li₂#,1
AN?,1
[nu-ur₂-eš₁₈-dar,1
šu#-eš₁₈-dar,1
ša-at-ma-mi,1
ba#-na#-na#,1
lugal-šuba-zi,1
MUŠ₃,1
ur-{d}nin#?-si₄#?-an-na,1
ur]-ku₃-nun-na-ta#,1
{d}nanna#-[ma-ba],1
lugal#-a₂-zi-da,1
[...]-ga-ra,1
ur-{d}suen#?,1
ur#-{d#}lamma,1
mi-id-gur₈,1
{d}amar-{d}suen-zi-kalam-ma,1
tu-li₂-id-{d#}[utu-ši],1
ab-e₃,1
{d}šul-gi-ra-ma,1
ku-ba-tum-e,1
nu-ki-{d}iškur,1
du₁₁-ga-zi,1
ha-ba-lu₅-ge,1
u₂-ta₂-mi-šar-am,1
a-gu-a-ni,1
lugal-he₂-gal₂#,1
a#?-du-du,1
kar,1
{d}EN-[x,1
ki-ma-ma,1
ARAD₂-{d}nanna#?,1
ha-ba-lu₅-ke₄,1
