name,number of transactions
šu#-e₂-a,1
me-{d}ištaran-e,1
[lugal-ku₃-zu,1
na-tum-da,1
{d}nin-lil₂-zi-mu,1
lugal-...,1
si₂-mat-i₃-li₂,1
ša₃-ku₃-ge,1
[i]-ku-pi₄-{d}utu,1
in#-ta-e₃-a,1
a-bi₂-iš-ki-in,1
gu₂-ne,1
ri-ma-nu-um,1
ta₂-din-ki-za,1
u₃-amar-ba-šu,1
šeš-sa₆-ga,1
za-an-na,1
in-ta-e₃-[a],1
še-da-ak-gu₂-gu₂,1
dingir-kal-la,1
en#-mah-gal-an#-na,1
en-nun-e]-{d}amar-{d}suen-ra-ki-[ag₂,1
zu-la-lum,1
še-id?-pa₂-tal,1
lugal-a₂-zi-da#,1
a-ab-{d}šul-gi,1
da-da-u₃-x,1
i-bi₂,1
inim#-{d}nanna-zu,1
ri-ga-ba-da,1
šu-{d}iš:ha-ra,1
ša#-at#-{d#}[šu-{d}suen],1
nig₂-[mu-mu]-kal-[le,1
lugal-igi-du,1
ab-ba-mu#,1
a₂]-ni-id,1
ab-[ba-kal-la?],1
lugal-zi-mu,1
{d}[šu-{d}]suen#-la-ma-har,1
nu!-ur₂-{d}suen,1
ARAD₂-{d}ba#?-[ba₆,1
{d}šu-{d}suen-hi-li-an-na,1
ša₃-da-an,1
nu-ur₂#-{d}suen,1
ba-aš-ti,1
[ur-{d}šul]-pa-e₃,1
na-ab-la-num₂,1
lugal-ša₃#?-[...],1
ur-kun!,1
ur-tul₂-sag,1
ur-mes!,1
ia₃-a-da-az,1
[wa]-da-ru-um,1
{d}nin-e₂-an-na,1
nir-i₃-da-gal₂,1
ur-{d}nin-[kur-ra],1
ur-{d}ba-ba₆-ka,1
e₂-a-ra-[bi₂],1
ši-ha-lum,1
nig₂-ma-ma,1
lugal-me#-[lam₂],1
[{d}]utu-bar-ra,1
i-zu-a-ri₂-ik,1
zi-ir-ki-lum,1
[dingir]-ba-ni,1
ši-ba-ra-aq,1
su-pu-uš,1
ba-la-a,1
ad-da-mu#,1
{d}[nanna]-ma-ba,1
šu-{d}[...],1
a-ri-za-nu-um,1
hu]-la-al,1
ur#-{geš}gigir,1
{d}[en-lil₂-la₂,1
[...]-da-ni,1
šeš-a-na,1
{d}šul-gi-pa₂-li₂-il,1
ur-[{d}]lamma,1
hi-lum,1
i-za-num₂,1
mar₂-da,1
{d}lamma-e-silim-mu,1
sa₂-si₂,1
aš₂-nun{ki}-ka,1
er₃#-re-šum#,1
e-ni-iš#-a#-[gu]-um#,1
ur-{d}en-lil₂,1
um-mi-du₁₀,1
[ba-mu,1
za-ri₂!-[iq],1
ba-ga-tum,1
lu₂-da#!-ga#?,1
peš₂-tur-tur,1
wa-qar-{d}šu-{d}suen,1
{d}nanna-ku₃-zu,1
giri₃-ša-ma,1
ma-lu-lu,1
ma#-na-a#?,1
lu₂-da-gi-a,1
ga-x,1
li-ba-nu-aš-gu-bi,1
{d}nanna-PAD,1
eš₁₈-dar-il₆-su,1
lugal-gaba,1
maš-sa₆-sa₆,1
sipa-{d}nanše-in-pa₃,1
pa-na-na,1
ia₃-ši-li-im?,1
[in-ta-e₃-a],1
la-na#,1
lugal-engar,1
li-im-ni-li-ik-hi-li-ik,1
{d}lugal-ku₃-zu#,1
i₃-li₂-dan,1
{d}x-ki,1
šu-ru-uš-ak,1
šu-{d}eš₁₈-dar,1
ab#-ba-sa₆-[ga],1
gu-zu-lum,1
i₃-li₂-[...,1
a-ni-ni,1
bu₃-u₂-da-a,1
ni-ba-ba,1
nu-ur₂-zu-[bi,1
dan-num₂,1
ad-da-bu-ni,1
ma-[šu,1
ur-{d}lamma#,1
zi-nu-gi,1
la-[na],1
{d}en-lil₂-re-ez-zum,1
lu₂#-dingir-ra,1
i-za-ri₂-iq,1
dingir-lugal#,1
i₃-li₂-mah-ri,1
i₃-sa₆-ga,1
lugal-e₂-mah-[x],1
lugal-zi-da,1
ur#-[{d}lugal-banda₃{da},1
ki-iz-zi,1
da-gi,1
a-ra,1
a-hu-um#,1
li-bur-gu?,1
ab-ba-a,1
na-sa₆#?,1
na-ap-la!(NA)-nu-um,1
u₂-na-[ba-tal,1
lu₂-{d}dumu-zi-da,1
en-[mah-gal]-an-na,1
ki-na-at-nu-[nu?],1
{d}šu-suen,1
igi-sa₆-sa₆,1
šu-hal-un-du,1
igi-an-na-ke₄-zu,1
šeš]-kal-la,1
ba-sag?,1
ur#-e₂-an-na,1
šu-ba-bi,1
{d}šul-gi-{d}utu-mu,1
[la-na],1
{d}suen-zi-mu,1
zi-ga-am₃,1
iri-ni-ta#,1
nig₂-x,1
zi-li-hu-um,1
[dingir]-dan#,1
am-ne-zu,1
dingir-a-hi,1
šu-{d}suen#,1
si-PI-it,1
e-la-la,1
{d}amar-{d}suen-<na>-engar#-{d}en-lil₂,1
lugal-an-dul₃#,1
la-ze₂-em-a-nu-um,1
gu₃#-de₂#-a,1
šu-{d}dam-ki-na,1
{d}utu-mu,1
ur#-{d}nin-gal,1
ar-ši-ku,1
lugal-igi-huš,1
{d}[en-ki,1
šu-KID?-a,1
[{d}šul]-gi-ra,1
ia₃-ab-ti,1
na-sa₆#-[ta],1
ni-tam-ma,1
geme₂-{d}nanna#,1
ur-{d}x-x,1
na-sa₆#-[ta,1
{d}en-lil₂-a-bu-šu,1
i-di₃-er₃-ra-ka,1
dingir-[kal],1
{d}]suen#-a-bu-[šu],1
e₂-du₃-du₃,1
[{d}utu-he₂-du₇],1
ur-sa₆-ga#?,1
ur-sa₆-ga-mu,1
lu-lu-ba-a,1
dingir-su-dan,1
{d}nin-isin₂{si}-na,1
ba-šu#?-u₂,1
{d}šul-gi-a-a-mu#,1
ur-{d}li₉#-[si₄],1
ur-{d#}šul#-[...],1
u₂-[la]-i₃-li₂,1
šu#-dur-ul₃,1
bi-in-gu-bi-iš,1
na-sa₆-[ta,1
ih-ta-na-su₂-nu-ut,1
ha-[li₂,1
iš#-[me]-{d}da-gan,1
wa-ta₂-ru#-um#,1
lugal#-nam₂-mah#,1
ar-ši-ah#,1
ur-{d}bil₃,1
{d}amar#-[{d}]suen,1
amar-{d}suen#,1
i-šar-kur-ba-šum,1
tu-ra-a,1
me-{d}ištaran!,1
ši-me-a-ni,1
a-ba-ba,1
[{d}en]-ki,1
lu₂-ti-ti,1
gu-ra#-a,1
a-la-ru-um,1
a-ba-e-ne-gin₇,1
ur-bara₂-si-ga,1
ur#-nigar,1
a₂-gu₄,1
mu-ri-na-ba,1
lugal-ušur₄,1
mu-ra-u₂-e,1
a-da-lal₃#?,1
da-a-zi-te#,1
[ma]-at#-i₃-li₂,1
[šeš]-da#-da,1
a-wa-ar-ka,1
gir₂-lu₂,1
x-dingir-ra,1
a-ri-ib-a-tal,1
a-da-gal#?,1
ur-{d}ba]-ba₆,1
{d}nanna-ma-[ba,1
lu₂#-{d}nin-šubur,1
ur#-{d}šara₂,1
lu₂-{d}šu-{d}suen,1
{d}nanna-he₂-gal₂,1
a-ha-an-ti-bu,1
an-nu#-ni-tum#,1
an-ne₂-ba-du₇,1
a#-hu#-ni,1
ur-šu-ku₃-ga,1
in-ta-[e₃-a-ta],1
{d}šul-gi-si₂-im-tum-ma-kam,1
[{d}šu-{d}]suen#-la-ma-ha-ar,1
u₂-ta-mi-šar-ra-am,1
da-a-zi,1
{d}nin-ti₂-ug₅-<ga>,1
lugal-KU,1
šu-la-num₂,1
a₂-nu-nu,1
ka-gaz,1
na-bi₂-a,1
ur-ma?-mi,1
lugal-an-dul₃?,1
dan-na-li,1
u₂-ze₂-nu-ru-um,1
ba-sa₆-ga,1
ad-du-na,1
lu₂]-{d}en-ki,1
[ARAD₂]-{d}šara₂,1
kalam-he₂-na-gi,1
{d}i₇-lu₂-ru-gu₂-de₃,1
šu-kab-ta₂,1
nu]-ur₂#-{d}suen,1
inim#-{d}nanna,1
a₂-pi-li₂-a,1
a₂-dingir-ga₂,1
ur-{d}dam-ki-na,1
lu₂-{d}[x,1
e₂-a-[x,1
[ra-ši],1
[x]-KA,1
li-ba-an-aš-gu-[bi],1
{d}nin#?,1
lugal-e-gir₂,1
{d}iškur-ra-bi₂,1
[ni]-im#-zi,1
lugal-engar-zi,1
še-il-ha-ha,1
a-hu-we-er-[ta,1
i₃!-li₂!-dan,1
ur-{d}šu-zi-an-ka,1
gu-ru-ru,1
a-ma-an-ne-en,1
in-ta-[e₃-a],1
a-x,1
lu₂-{d}nin-šubur-ra,1
a-li-ba-nu-uk-ša-ba-aš,1
a-a-mu#,1
geš-zu-di-ga,1
na-ap-la-[num₂],1
ur-{d}en-lil₂]-la₂,1
en#-nun-e-[{d}amar]-{d}suen-ra-[ki]-ag₂#,1
i#-bi₂-{d}suen,1
šu-{d}ištaran,1
ur-banda₃{da},1
a-ta₂-kal₂-šum,1
ma-az-gar₃-tum,1
lu₂-iri,1
ši-il-ni-gi,1
u₂-li-i₃-li₂,1
da-num₂,1
[dingir]-dan,1
ur-si-gar-ra,1
a-na-da-hul,1
a-hu-wa-[qar],1
ur-[x]-x,1
lu₂-bala-sa₆#-ga#,1
e₂-[x,1
ha-[x-x,1
[...]-bi,1
e₂-ki,1
mar₂-da-mu,1
i]-din-er₃-ra,1
ur#-[{d}gilgamesₓ(|BIL₃.GA.MES|),1
[ni]-gar₃-{d}šu-{d}suen,1
ki-ir-bi-ba#,1
ni-tam-ma#,1
ki-ir-na-mi,1
na-bi-{d}suen,1
a-hu-um,1
i-la-bu-ga-du,1
{d}suen-dingir-šu,1
in-ta-e₃#-a#,1
[lugal-inim-gi-na,1
mu-x-x,1
ad-da-gi-na#,1
ur-{d}en,1
{d}nanna-i₃-zi,1
la-ba-na-am-zi,1
ur-kun,1
[ga-da-bi,1
lil₂-lil₂-ri,1
ma#-ar#-hu#-ni#,1
{d}nin-ti₂-ug₅-ga#,1
ur-{d}nin-kur₂-ra,1
lu-ze₂-um,1
nu-ur₂-ra-a#?,1
en-ša₃-<ku₃>-ge,1
bu-ku-[šum],1
ze₂-pi,1
lugal-mu-ma-ag₂,1
lu₂-{d}šu-x,1
bu-zu-a,1
na]-lu₅-ta#,1
ba-ni-lum,1
ga-la-ah,1
ha-ba-lu₅#-ge₂,1
za-al-ma-nu-um,1
e₂-a-ma-lik,1
lu₂#-dingir-ra#,1
ur-[x,1
dingir-la-ni,1
{d}suen-illat,1
a-ba-ni,1
šeš#-da#-da,1
u₃-ba-a,1
{d}en-lil₂-da,1
nu-ur₂-{d}[suen,1
pi₂-ir-ha-šum,1
lugal-nam-tar-re,1
ki-sa₆-mu,1
lu₂#-bi-mu,1
hu-li-[bar],1
ur-[mes],1
pa₄-pa₄,1
{d}šul-gi-ma-ti,1
ab-ba-sa₆-ga-še₃,1
ša-at-{d}šul-gi,1
[lu₂-u₁₈]-um,1
{d}suen-il-šu,1
za-ga-an-BI?,1
a-ri₂-x,1
lu₂-bala-ša₃-ga,1
bu₃?-ša-am,1
a-ri#-du#-bu-uk,1
a-hu!-ni,1
lu₂-bala-sa₆-[ga],1
nu-ba-an,1
i₃-li₂-mu,1
eš₃-gi-a,1
{d}amar-{d}suen-ka,1
{d}nanna-ma-ba!,1
du-uk-ra-ke₄,1
nu#-ur₂-{d}iškur,1
ša-ši-mi,1
lu₂-ma₂-gur₈-re,1
a-a-i₃-li₂-šu,1
{d}x]-{d#}suen,1
na-ab-<la>-nu-um,1
{d}šul-gi-x,1
a-a-dingir,1
na-ab-la-zum,1
{d}šul-gi-a-tal,1
kal-bi-si,1
i₃-la-ti,1
dingir-šu-sipa,1
ama-bara₂,1
hi-li-iš,1
ša-al-mah,1
al-la#,1
{d}nin-me-en,1
e₂-a-ba#-ni#,1
ur-šu!,1
en-bara₂,1
hu-[la]-al,1
me-{d}ištaran-na,1
kas₃-pu-[ša],1
lu₂#-{d}utu,1
mu-ru-wa,1
id-ni-{d}suen,1
lu-ma-nu-um,1
ad-gi,1
e-te-el-pu₃!-{d}šul-gi,1
{d}šu-{d}suen-wu-zu-um-i-šar#-re,1
dingir-su₂-ra-bi₂,1
lugal-banda₃-še₃,1
lugal-me-e₃-a,1
šar-ru-sipa-i₃-li₂,1
sa₃-si₂#,1
zi-li-li₂,1
amar-suen,1
nu-ur₂-eš₁₈?-dar?,1
{d}en-[lil₂-la₂],1
šeš#-da#-da#,1
du-nu-um,1
{d}šul-gi-ra-kam,1
ra-ha-u₃,1
lu₂-{d}geš-bar-e₃,1
