Word, Frequency, List of Sumerian Words
outside, 4, ['bar']
pay for, 4, ['sa']
payment, 4, ['mašdarea']
priestess, 4, ['igidua', 'egizid', 'lukur', 'erešdiŋir']
profit, 4, ['dun']
senior, 4, ['šugi']
sheephouse, 4, ['eʾudu']
shrine, 4, ['eš']
soil, 4, ['sahar']
store, 4, ['guru']
string, 4, ['šergu', 'šusar']
touch, 4, ['tag']
turtle, 4, ['balgi', 'niŋbuna']
vegetable, 4, ['šumsikil', 'zahadin']
weak, 4, ['sig', 'hunu']
branch, 3, ['pa', 'li']
bundle, 3, ['sa']
cauldron, 3, ['šen']
checked, 3, ['kabduga']
chest, 3, ['gaba']
clothing, 3, ['aguhum']
collect, 3, ['deg', 'kul']
courtyard, 3, ['kisal']
different, 3, ['kur']
drover, 3, ['gudeʾusa', 'šagud']
fair, 3, ['sisa']
fall, 3, ['šub']
fisherman, 3, ['šukud']
gypsum, 3, ['imbabbar']
inspector, 3, ['gugal']
line, 3, ['da']
mattress, 3, ['šatuku']
new, 3, ['gibil']
pig, 3, ['šah']
plank, 3, ['emesig', 'miriza']
property, 3, ['niŋgur', 'niŋurum']
river, 3, ['id']
roof, 3, ['ur']
run, 3, ['sar']
salt, 3, ['mun']
split, 3, ['dar']
supervisor, 3, ['kaguruk']
thicket, 3, ['gi']
tower, 3, ['dubla', 'anzagar']
translator, 3, ['emebala']
village, 3, ['eduru']
weapon, 3, ['šita', 'tukul', 'zena']
word, 3, ['inim']
~beer, 3, ['bappir']
~fish, 3, ['šabar']
add, 2, ['tah']
arrow, 2, ['ti']
ascend, 2, ['ed']
ax, 2, ['tun', 'hazin']
bind, 2, ['kešed']
blackness, 2, ['mes']
breeder, 2, ['ŋešdu']
bride, 2, ['egia']
cross-beam, 2, ['tum']
cypress, 2, ['šurmen']
deficit, 2, ['imba']
deity, 2, ['lammar', 'diŋir']
destroy, 2, ['gul']
document, 2, ['sara']
emblem, 2, ['samsatum', 'šunir']
fat, 2, ['lib']
felter, 2, ['tugdu']
fluid, 2, ['aŋarak']
fountain, 2, ['tul']
grind, 2, ['ara']
harbor, 2, ['kar']
hole, 2, ['KU']
imprisonment, 2, ['ennuŋ']
instrument, 2, ['urgula', 'balaŋ', 'zamiritum']
judge, 2, ['dikud']
meadow, 2, ['agar']
meal, 2, ['naptanum', 'ŋešbun']
moth-eaten, 2, ['zuʾeh']
mother, 2, ['ama']
not, 2, ['nu']
nursemaid, 2, ['emeda']
oil-presser, 2, ['irara']
pluck, 2, ['ur']
post, 2, ['dim']
potash, 2, ['naŋa']
praise, 2, ['katar']
ring, 2, ['har', 'šugur', 'dalla']
sack, 2, ['aŋala', 'barag']
shipyard, 2, ['marsa']
shoulder, 2, ['murgu']
singer, 2, ['galamah', 'gala']
sister, 2, ['nin']
smith, 2, ['simug']
square, 2, ['ibsi']
sweeper, 2, ['kisalluh']
table, 2, ['banšur']
tail, 2, ['kun']
tamarisk, 2, ['šinig']
tax-collector, 2, ['enkud']
test, 2, ['kab']
tremble, 2, ['dub']
trust, 2, ['tam']
tuft, 2, ['suhur']
wailing, 2, ['giranum']
waste, 2, ['kiʾuš']
water drawer, 2, ['abala']
waterskin, 2, ['ummud']
wet, 2, ['duru']
~flour, 2, ['dubdub']
abuse, 1, ['in']
anoint, 1, ['peš']
aromatics, 1, ['šim']
assignment, 1, ['aʾaŋa']
banquet, 1, ['kašdea']
barge, 1, ['magur']
bathroom, 1, ['dus']
bird-catcher, 1, ['mušendu']
