name,role,profession,p id,year,processed year
a₂-bi₂-li₂-a,['recipient'],None,101015,Shulgi.38.04.00 (us2 year),56.0400
a-ba-{d}en-lil₂-gin₇,['source'],None,101016,Shu-Suen.06.12d.07 (intercalated),81.1207
a₂!-na-na,['intermediary'],None,101016,Shu-Suen.06.12d.07 (intercalated),81.1207
a-ba-{d}en-lil₂-gin₇,['source'],PN,101016,Shu-Suen.06.12d.07 (intercalated),81.1207
lu₂-{d}nin-šubur,['intermediary'],dubsar[scribe],101016,Shu-Suen.06.12d.07 (intercalated),81.1207
zu₂-ga-li,['source'],None,101017,"Shu-Suen.07.01.00, Shu-Suen.07.09.00, Shu-Suen.07.10.00, Shu-Suen.07.12.00",82.0100
ur-ku₃-nun-na,['recipient'],None,101017,"Shu-Suen.07.01.00, Shu-Suen.07.09.00, Shu-Suen.07.10.00, Shu-Suen.07.12.00",82.0100
a-ba-{d}en-lil₂-gin₇,['source'],None,101019,Ibbi-Suen.01.05.00,85.0500
ur-da-gi₄,['intermediary'],None,101019,Ibbi-Suen.01.05.00,85.0500
{d}šul-gi-iri-mu,['recipient'],None,101021,"Shu-Suen.01.00.27, Shu-Suen.01.00.29",76.0027
lugal-ku₃-zu,['recipient'],None,101225,Shu-Suen.08.09.00,83.0900
na-ra-am-i₃-li₂,['source'],None,101296,Shulgi.30.06.00,48.0600
lugal,['source'],None,101297,Shulgi.36.09.00,54.0900
{d}šul-gi-si₂-im-ti,['new owner'],None,101297,Shulgi.36.09.00,54.0900
be-li₂-du₁₀,['recipient'],None,101297,Shulgi.36.09.00,54.0900
a₂-bi₂-li₂-a,['recipient'],None,101298,Shulgi.39.05.00,57.0500
nir-i₃-da-gal₂,['new owner'],None,101299,Shulgi.42.07.00,60.0700
e₂-u₆-e,['recipient'],ensik[ruler],101299,Shulgi.42.07.00,60.0700
ur-ku₃-nun-na,['source'],None,101300,Ibbi-Suen.02.10.00,86.1000
na-ra-am-i₃-li₂,['source'],None,101301,Shulgi.44.02.00,62.0200
lugal-an-na-ab-tum₂,['recipient'],None,101301,Shulgi.44.02.00,62.0200
{d}šul-gi-si₂-im-tum,['new owner'],None,101302,Shulgi.44.02.15,62.0215
a₂-bi₂-la-tum,['recipient'],None,101302,Shulgi.44.02.15,62.0215
a₂-bi₂-la-tum,['recipient'],None,101303,Shulgi.44.06.10,62.0610
ur-{d}lugal-edin-ka,['recipient'],None,101304,Shulgi.46.10.00,64.1000
{d}šul-gi-si₂-im-ti,['new owner'],None,101304,Shulgi.46.10.00,64.1000
ur-{d}lugal-edin-ka,['recipient'],None,101304,Shulgi.46.10.00,64.1000
a-hu-ni,['source'],None,101305,Shulgi.46.10.13,64.1013
[na]-sa₆#,['recipient'],None,101305,Shulgi.46.10.13,64.1013
{d}šul-gi-si₂-im-ti,['new owner'],None,101306,Shulgi.46.12.00,64.1200
ur-{d}lugal-edin-ka,['recipient'],None,101306,Shulgi.46.12.00,64.1200
na-sa₆,['source'],None,101307,Shulgi.46.12.00,64.1200
lu₂-dingir-ra,['recipient'],None,101307,Shulgi.46.12.00,64.1200
zu₂-ga-li,['intermediary'],None,101307,Shulgi.46.12.00,64.1200
na-lu₅,['source'],None,101308,"Shulgi.46.12.04, Shulgi.46.12.11",64.1204
na-sa₆,['recipient'],None,101308,"Shulgi.46.12.04, Shulgi.46.12.11",64.1204
{d}šul-gi-i₃-li₂,['recipient'],None,101309,Shulgi.47.05.00 (us2 year),65.0500
{d}šul-gi-si₂-im-ti,['new owner'],None,101310,Shulgi.47.09.02 (us2 year),65.0902
{d}šul-gi-i₃-li₂,['recipient'],None,101310,Shulgi.47.09.02 (us2 year),65.0902
{d}šul-gi-si₂-im-ti,['new owner'],None,101311,Shulgi.47.01.00 (us2 year),65.0100
ur-{d}lugal-edin-ka,['recipient'],None,101311,Shulgi.47.01.00 (us2 year),65.0100
na-sa₆,['source'],None,101312,Shulgi.48.12.00,66.1200
na-lu₅,['recipient'],None,101312,Shulgi.48.12.00,66.1200
un-za-mu,['recipient'],engar[farmer],101313,Amar-Suen.01.00.00,67.0000
un-za-mu,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
igi-ni-da-a,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
ur-{d}utu,['recipient'],engar[farmer],101313,Amar-Suen.01.00.00,67.0000
ur-{d}utu,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
ur-{d}iškur#,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
lugal-za₃-ge-si,['recipient'],engar[farmer],101313,Amar-Suen.01.00.00,67.0000
lugal-za₃-ge-si,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
ur-{d}nin-geš-zi-da,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
ur-{d}ig-alim,['recipient'],engar[farmer],101313,Amar-Suen.01.00.00,67.0000
igi-ni-da-a,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
ur-{d}ig-alim,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
[{d}ba]-ba₆-da-nu-me-a,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
lu₂-{d}geš-bar-e₃,['recipient'],engar[farmer],101313,Amar-Suen.01.00.00,67.0000
lu₂-{d}geš-bar-e₃,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
lu₂-dingir-[ra],['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
a₂-bi₂-li₂,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
a-da-lal₃,['recipient'],engar[farmer],101313,Amar-Suen.01.00.00,67.0000
a-da-lal₃,['recipient'],None,101313,Amar-Suen.01.00.00,67.0000
a-hu-ni,['source'],None,101314,Amar-Suen.01.06.13,67.0613
lu₂-dingir-ra,['source'],None,101314,Amar-Suen.01.06.13,67.0613
ab-ba-sa₆-ga,['source'],None,101314,Amar-Suen.01.06.13,67.0613
{d}en-lil₂-la₂,['recipient'],None,101314,Amar-Suen.01.06.13,67.0613
