name,profession,p index
be-li₂-du₁₀,kurušda[fattener],101356
AN,u,101357
be-li₂-du₁₀,kurušda[fattener],101357
uz-tur,uš[die],101359
er₃-ra-ba-ni,muhaldim[cook],101361
lugal-ra,gabari[copy],101365
{d}]be-la-at-<suh₆>-ner,u[and],101368
{d}ša-u₁₈-ša,GN,101374
er₃-ra-na-dan,šagia[cup-bearer],101374
lugal-ra,gabari[copy],101379
[{d}]gu₂-la₂,šag[heart],101382
lugal-ra,gabari[copy],101383
ARAD₂-mu,AN,101389
na-sa₆,PN,101389
a-wa-at-i₃-li₂,u,101390
na-sa₆,PN,101390
igi-kar₂,PN,101394
{d}nin-lil₂-e-ma-na!(KI)-ag₂,ud[sun],101394
lugal-inim-gi-na,sukkal[secretary],101394
ur-{d}dumu-zi-da,sukkal[secretary],101394
na-ap-la-num₂,MAR.TU[westerner],101394
ad-da-sa₆-ga,agaʾus[soldier],101394
a-mur-dingir,lu[person],101394
li-ba-nu-uk-ša-ba-aš,ensik[ruler],101394
gu-ra-a,lu[person],101394
hu-zi-ri,sukkal[secretary],101394
{d}da-gan-a-bu,lu[person],101394
ia₃-ši-li-im,ensik[ruler],101394
i-ba-ti,lu[person],101394
en-mah-gal-an-na,en[priest],101394
ur-mes,PN,101396
lugal-a₂-zi-da,u,101397
{d}a-ma-ga,AN,101397
in-ta-e₃-a,PN,101397
nu-ur₂-{d}suen,dubsar[scribe],101397
{d}utu-bar-ra,unud[cowherd],101398
lu₂#-[{d}nin-gir₂-su,kurušda[fattener],101401
ur-šu,muhaldim[cook],101402
uri₅{ki}-ki-du₁₀,muhaldim[cook],101402
{d}šu-{d}suen-ma-ha-ar,šagia[cup-bearer],101403
{d}suen-a-bu-šu,šagia[cup-bearer],101403
nu-ur₂-{d}suen,dubsar[scribe],101403
{d}šul-gi-i₃-li₂,PN,101404
ur-nigar[{gar}],kaguruk[supervisor],101406
lu₂-[{d}nin-gir₂-su,kurušda[fattener],101407
lu₂-{d}nin-šubur,dubsar[scribe],101427
{d}šara₂-kam-e,X,101430
be-li₂-du₁₀,kurušda[fattener],101439
be-li₂-du₁₀,kurušda[fattener],101439
be-li₂-du₁₀,kurušda[fattener],101439
<la₂>-NI,n,101440
šeš-da-da,FN,101443
lu₂-{d}nanna,šakkanak[general],101445
lu₂-[...],e[house],101449
[...]-ka#,ŋal[be],101450
i-di₃-er₃-ra,ugula[overseer],101450
a-pi-la-ša,u,101452
nu-ur₂-ma,n,101453
nu-ur₂-ma,n,101453
nu-ur₂-ma,n,101453
{d}suen-a-bu-šu,šagia[cup-bearer],101454
a₂#-ge₆#-ba-a,ud[sun],101454
nu-ur₂-{d}suen#,šatam[official],101454
šu#-er₃-ra,dubsar[scribe],101454
{d}suen-a-bu-šu,šagia[cup-bearer],101455
hal-li₂-a,dubsar[scribe],101455
nu-ur₂-zu-[bi,ŋal[be],101461
ur-ku₃-nun-na-ka,ŋal[be],101461
lu₂-uru₁₁{ki},sukkal[secretary],101462
{d}iškur-illat,nubanda[overseer],101552
šu-ma-ma,ensik[ruler],101641
nu-ur₂-i₃-li₂,dumu[child],101694
nu-ur₂-i₃-li₂,dumu[child],101694
ur-{geš}gigir,ensik[ruler],101721
ur#-mes#,ensik[ruler],101722
du₁₁-ga#-[zi-da,kuš[official],101727
lu₂-dingir-ra,šabra[administrator],101727
lugal-ma₂-gur₈-re,sukkal[secretary],101727
na-sa₆#-[ta,PN,101727
kas₃-pu-ša,šagia[cup-bearer],101758
kas₃-pu-ša,šagia[cup-bearer],101758
{d}nanna-igi-du,šagia[cup-bearer],101758
{d}nanna-igi-du,šagia[cup-bearer],101758
id-da-a,u,101758
{d}suen-a-bu-šu,šagia[cup-bearer],101758
[{d}suen]-a-bu-šu,šagia[cup-bearer],101758
na-ap-la-num₂,MAR.TU[westerner],101758
{d}en-ki,ŋeškiŋti[workshop],101759
{d}en-ki,PN,101759
i-šar-i₃-li₂,dubsar[scribe],101759
{d}nanna-ki-ag₂,kuš[official],101760
ba-a-ba-lum,kuš[official],101760
ur-mes,ensik[ruler],101760
{d}suen-a-bu-šu,šagia[cup-bearer],101761
ku-ba-tum,lukur[priestess],101761
a-mur-dingir,ragaba[rider],101761
a-mur-dingir,ragaba[rider],101761
lu₂-{d}nin-šubur,dubsar[scribe],101761
ur-mes,nar[musician],101774
ur-{d}lamma,ensik[ruler],101775
ur-{d}ba-ba₆,šabra[administrator],101786
lu₂-{d}nanna,šabra[administrator],101786
ur-{d}ba-ba₆,šabra[administrator],101786
ur-mes,PN,101786
la-na,kurušda[fattener],101787
la-na,kurušda[fattener],101857
lu₂-u₁₈-um,niga[fattened],101863
lu₂-u₁₈-um,u,101863
nu-ur₂-{d}suen,dubsar[scribe],101865
nu-ur₂-{d}suen,šagia[cup-bearer],101867
{d}šu-{d}suen-i₃-li₂,šarrabdu[administrator],101867
ra?-bu-tum,PN,101868
um-me,ga[milk],101868
lu₂-bala-sa₆-ga,sukkal[secretary],101872
{d}nin-lil₂-tum-zi-nu-šu,en[priest],101877
i₃-li₂-a,dubsar[scribe],101877
wa-ta₂-ru-um,FN,101879
bur-ma-ma,damgar[merchant],101879
ur-{d}ba-ba₆,ensik[ruler],101879
lugal#-ezem,sukkal[secretary],101879
{d}nanna-ma-ba,dubsar[scribe],102014
ša₃#-ta-ku₃-zu#,ragaba[rider],102015
bi₂-zu-a,nin[sister],102015
ab-ba-sa₆-ga,PN,102016
u₃-za-ar,GN,102017
a₂-bi₂-li₂,agaʾus[soldier],102017
ku-ba-tum,nin[lady],102020
eš₁₈-dar-tu-kul₂-ti,emeda[nursemaid],102021
geme₂-{d}en-lil₂-la₂,FN,102021
ga-ab-lu-lu,lu[person],102021
er₃-re-šum,šarrabdu[administrator],102021
{d}nanna-kam,šuʾi[barber],102022
{d}šul-gi-i₃-li₂,PN,102022
lu₂-{d}nanna,šarrabdu[administrator],102022
ba-sa₆,kurušda[fattener],102126
na-sa₆,PN,102127
šu-er₃-ra,kuš[official],102132
ur-ku₃-nun-na,PN,102132
a₂-bi₂-la-tum,kurušda[fattener],102137
in-ta-e₃-a,PN,102141
in-ta-e₃-a,PN,102142
zi-im-zi-la-ah,sipad[shepherd],102143
a-hu-ni,šagia[cup-bearer],102145
[mar]-hu-ni#,lu[person],102145
zi-ib-na-tum,DN,102164
{d}nanna-igi-du,šagia[cup-bearer],102164
{d}šu-{d}suen-i-pa₂-la-ah-{d}en-lil₂,šagia[cup-bearer],102164
ku-ba-tum-e,PN,102164
me-{d}ištaran-na,kaš[beer],102164
inim#-{d}nanna,PN,102164
er₃-re-šum,šarrabdu[administrator],102164
lu₂-{d}nanna,GN,102165
ma-num₂-ki-{d}šul-gi,šarrabdu[administrator],102165
za-ga-an-BI?,lukur[priestess],102167
dingir-dan,sukkal[secretary],102167
ur-{d}ba-ba₆,muhaldim[cook],102167
ur-mes,ensik[ruler],102179
ur-mes,nar[musician],102179
kal-{d}šul-gi,sipad[shepherd],102192
šu-er₃-ra,PN,102192
