,Name,id_word,CDLI No,role,profession,Original date,Converted Date
11006,ab-ba-sa₆-ga-ta[]PN,P210477.12.2,P210477,source,,AS04 - 03 - 18,70.0318
11007,a-hu-we-er[]PN,P210477.13.1,P210477,recipient,,AS04 - 03 - 18,70.0318
11008,{d}en-lil₂-la₂[]PN,P210477.15.4,P210477,,,AS04 - 03 - 18,70.0318
11009,ab-ba-sa₆-ga-ta[]PN,P210478.6.2,P210478,source,,AS07 - 11 - 14,73.1114
11010,na-lu₅[]PN,P210478.8.1,P210478,recipient,,AS07 - 11 - 14,73.1114
11011,na-ra-am-i₃-li₂-ta[]PN,P210479.4.2,P210479,source,,AS02 - 10 - 00,68.1
11012,{d}amar-{d}suen[]PN,P210479.9.2,P210479,,lugal[king]N,AS02 - 10 - 00,68.1
11013,ab-ba-sa₆-ga-ta[]PN,P210480.13.2,P210480,source,,AS02 - 03 - 10,68.031
11014,{d}šul-gi-a-a-mu[]PN,P210480.14.1,P210480,recipient,,AS02 - 03 - 10,68.031
11015,amar-{d}suen[]PN,P210480.17.2,P210480,,lugal[king]N,AS02 - 03 - 10,68.031
11016,ab-ba-sa₆-ga-ta[]PN,P390917.6.2,P390917,source,,AS07 - 12 - 30,73.123
11017,šu-ma-ma[]PN,P390917.8.1,P390917,recipient,,AS07 - 12 - 30,73.123
11018,lugal-amar-ku₃-ta[]PN,P210481.5.2,P210481,source,,AS08 - 01 - 24,74.0124
11019,šu-ma-ma[]PN,P210481.6.1,P210481,recipient,,AS08 - 01 - 24,74.0124
11020,en-nun-e-{d}amar-{d}suen-ra-ki-ag₂[]PN,P210481.10.2,P210481,,en[priest]N,AS08 - 01 - 24,74.0124
11021,ab-ba-sa₆-ga-ta[]PN,P210482.8.2,P210482,source,,AS07 - 06 - 13,73.0613
11022,šu-ma-ma[]PN,P210482.9.1,P210482,recipient,,AS07 - 06 - 13,73.0613
11023,ab-ba-sa₆-ga-ta[]PN,P210483.6.2,P210483,source,,AS03 - 01 - 18,69.01180000000001
11024,na-lu₅[]PN,P210483.7.1,P210483,recipient,,AS03 - 01 - 18,69.01180000000001
11025,{d}en-lil₂-la₂[]PN,P210483.10.3,P210483,,,AS03 - 01 - 18,69.01180000000001
11026,ab-ba-sa₆-ga-ta[]PN,P210484.6.2,P210484,source,,AS04 - 05 - 27,70.0527
11027,a-hu-we-er[]PN,P210484.8.1,P210484,recipient,,AS04 - 05 - 27,70.0527
11028,na-ra-am-i₃-li₂-ta[]PN,P210487.12.2,P210487,source,,AS02 - 09 - 00,68.09
11029,ur-{d}lamma[]PN,P210487.13.1,P210487,,ensik[ruler]N,AS02 - 09 - 00,68.09
11030,ka₅-a-mu[]PN,P210487.15.2,P210487,intermediary,,AS02 - 09 - 00,68.09
11031,{d}amar-{d}suen[]PN,P210487.17.2,P210487,,lugal[king]N,AS02 - 09 - 00,68.09
11032,ab-ba-sa₆-ga-ta[]PN,P210493.6.2,P210493,source,,AS07 - 03 - 04,73.0304
11033,šu-ma-ma[]PN,P210493.7.1,P210493,recipient,,AS07 - 03 - 04,73.0304
11034,lugal-ku₃-zu[]PN,P210494.5.2,P210494,new owner,,AS08 - 03 - 12,74.0312
11035,ur-{d}ba-ba₆[]PN,P210494.6.1,P210494,representative,,AS08 - 03 - 12,74.0312
11036,lugal-amar-ku₃-ta[]PN,P210494.9.2,P210494,source,,AS08 - 03 - 12,74.0312
11037,en-nun-e-{d}amar-{d}suen-ra-ki-ag₂[]PN,P210494.12.2,P210494,,en[priest]N,AS08 - 03 - 12,74.0312
11038,a-bi₂-si₂-im-ti[]PN,P210495.4.2,P210495,,,AS06 - 10 - 00,72.1
11039,a-hu-we-er-ta[]PN,P210495.6.2,P210495,source,,AS06 - 10 - 00,72.1
11040,ab-ba-sa₆-ga-ta[]PN,P210496.5.2,P210496,source,,AS05 - 02 - 18,71.0218
11041,{d}šul-gi-a-a-mu[]PN,P210496.6.1,P210496,recipient,,AS05 - 02 - 18,71.0218
11042,lugal-ma₂-gur₈-re[]PN,P210498.5.2,P210498,new owner,nubanda[overseer]N,AS04 - 01 - 21,70.0121
11043,a-a-kal-la[]PN,P210498.6.1,P210498,representative,,AS04 - 01 - 21,70.0121
11044,ab-ba-sa₆-ga-ta[]PN,P210498.9.2,P210498,source,,AS04 - 01 - 21,70.0121
11045,{d}en-lil₂-la₂[]PN,P210498.12.4,P210498,,,AS04 - 01 - 21,70.0121
11046,du-u₂-du-ta[]PN,P210499.6.2,P210499,source,,SS05 - 01 - 18,80.01180000000002
11047,{d}šul-gi-iri-mu[]PN,P210499.8.1,P210499,recipient,,SS05 - 01 - 18,80.01180000000002
11048,ur-{d}nanna-ta[]PN,P210501.8.2,P210501,source,,SS04 - 01 - 22,79.0122
11049,{d}šul-gi-iri-mu[]PN,P210501.9.1,P210501,recipient,,SS04 - 01 - 22,79.0122
11050,na-lu₅-ta[]PN,P390919.6.2,P390919,source,,SH46 - 05 - 04,64.0504
11051,ur-nigar{gar}[]PN,P390919.8.1,P390919,recipient,,SH46 - 05 - 04,64.0504
11052,lu₂-dingir-ra-ta[]PN,P390920.8.2,P390920,source,,AS06 - 05 - 23,72.0523
11053,{d}šul-gi-iri-mu[]PN,P390920.9.1,P390920,recipient,,AS06 - 05 - 23,72.0523
11054,lu₂-dingir-ra-ta[]PN,P210503.6.2,P210503,source,,AS08 - 03 - 17,74.0317
11055,{d}šul-gi-iri-mu[]PN,P210503.8.1,P210503,recipient,,AS08 - 03 - 17,74.0317
11056,en-dingir-mu-ta[]PN,P210505.9.2,P210505,source,,AS01 - 07 - 05,67.0705
11057,ur-nigar{gar}[]PN,P210505.10.1,P210505,recipient,,AS01 - 07 - 05,67.0705
11058,{d}amar-{d}suen[]PN,P210505.13.2,P210505,,lugal[king]N,AS01 - 07 - 05,67.0705
11059,en-dingir-mu-ta[]PN,P210507.9.2,P210507,source,,SH47 - 04 - 06,65.04060000000001
11060,ur-nigar{gar}[]PN,P210507.10.1,P210507,recipient,,SH47 - 04 - 06,65.04060000000001
11061,na-ra-am-i₃-li₂-ta[]PN,P210508.4.2,P210508,source,,AS02 - 10 - 00,68.1
11062,ur-{d}li₉-si₄-ke₄[]PN,P210508.5.1,P210508,recipient,,AS02 - 10 - 00,68.1
11063,{d}amar-{d}suen[]PN,P210508.8.2,P210508,,lugal[king]N,AS02 - 10 - 00,68.1
11064,u₂-ta₂-mi-šar-ra-am[]PN,P210509.5.2,P210509,new owner,,AS06 - 02 - 03,72.02029999999998
11065,ha-ba-ba-tum[]PN,P210509.6.1,P210509,,muhaldim[cook]N,AS06 - 02 - 03,72.02029999999998
11066,ab-ba-sa₆-ga-ta[]PN,P210509.9.2,P210509,source,,AS06 - 02 - 03,72.02029999999998
11067,a-da-lal₃[]PN,P210510.7.1,P210510,,,AS07 - 10 - 00,73.1
11068,a-hu-wa-qar[]PN,P390922.14.2,P390922,,lungak[brewer]N,IS02 - 10 - 00,86.1
11069,ab-ba-sa₆-ga-ta[]PN,P210512.6.2,P210512,source,,AS05 - 02 - 29,71.02289999999998
11070,na-lu₅[]PN,P210512.7.1,P210512,recipient,,AS05 - 02 - 29,71.02289999999998
11071,ab-ba-sa₆-ga-ta[]PN,P210514.6.2,P210514,source,,AS08 - 06 - 17,74.0617
11072,na-lu₅[]PN,P210514.7.1,P210514,recipient,,AS08 - 06 - 17,74.0617
11073,en-nun-e-{d}amar-{d}suen-ra-ki-ag₂[]PN,P210514.11.2,P210514,,en[priest]N,AS08 - 06 - 17,74.0617
11074,na-we-er-dingir-ta[]PN,P210515.4.2,P210515,source,,SS02 - 01 - 00,77.01
11075,{d}šul-gi-iri-mu[]PN,P210515.6.1,P210515,recipient,,SS02 - 01 - 00,77.01
11076,engar-du₁₀[]PN,P210516.5.2,P210516,intermediary,,AS03 - 03 - 00,69.03
11077,ur-ku₃-nun-na[]PN,P210516.7.1,P210516,new owner,,AS03 - 03 - 00,69.03
11078,{d}en-lil₂-la₂[]PN,P210516.11.3,P210516,,,AS03 - 03 - 00,69.03
11079,ab-ba-sa₆-ga-ta[]PN,P210517.6.2,P210517,source,,AS04 - 06 - 16,70.0616
11080,na-lu₅[]PN,P210517.8.1,P210517,recipient,,AS04 - 06 - 16,70.0616
11081,ab-ba-sa₆-ga-ta[]PN,P210518.6.2,P210518,source,,AS04 - 09 - 21,70.0921
11082,na-lu₅[]PN,P210518.7.1,P210518,recipient,,AS04 - 09 - 21,70.0921
11083,{d}šul-gi-{d}utu-mu[]PN,P390923.6.2,P390923,intermediary,,SS08 - 02 - 17,83.0217
11084,šu-{d}šul-gi[]PN,P390923.7.1,P390923,,šuʾi[barber]N,SS08 - 02 - 17,83.0217
11085,be-li₂-i₃-li₂[]PN,P210521.12.2,P210521,intermediary,,SS04 - 12 - 00,79.12
11086,u₂-la-i₃-li₂-iš[]PN,P210529.5.2,P210529,intermediary,,SS08 - 07 - 09,83.0709
11087,a-ba-{d}en-lil₂-gin₇-ta[]PN,P210529.7.2,P210529,source,,SS08 - 07 - 09,83.0709
11088,u₂-la-i₃-li₂-iš[]PN,P210529.17.1,P210529,,šuʾi[barber]N,SS08 - 07 - 09,83.0709
11089,{d}nin-lil₂-ama-mu[]PN,P210537.5.1,P210537,,,AS09 - 12d - 07,75.1207
11090,in-ta-e₃-a-ta[]PN,P210537.8.2,P210537,source,,AS09 - 12d - 07,75.1207
11091,{d}amar-{d}suen[]PN,P210537.12.1,P210537,,,AS09 - 12d - 07,75.1207
11092,ur-{d}šul-pa-e₃[]PN,P210537.16.1,P210537,,dubsar[scribe]N,AS09 - 12d - 07,75.1207
11093,ur-{d}ha-ia₃[]PN,P210537.18.2,P210537,,arad[slave]N,AS09 - 12d - 07,75.1207
11094,suhuš-ki-in[]PN,P210541.9.1,P210541,,,SS03 - 01 - 12,78.0112
11095,nu-ur₂-{d}šul-gi[]PN,P210541.12.1,P210541,,,SS03 - 01 - 12,78.0112
11096,in-ta-e₃-a[]PN,P210541.14.1,P210541,new owner,,SS03 - 01 - 12,78.0112
11097,{d}nanna-ma-ba[]PN,P210541.15.2,P210541,intermediary,,SS03 - 01 - 12,78.0112
11098,{d}en-ki[]PN,P210541.17.4,P210541,,,SS03 - 01 - 12,78.0112
11099,{d}nanna-ma-ba[]PN,P210541.21.1,P210541,,dubsar[scribe]N,SS03 - 01 - 12,78.0112
11100,u₂-na-ab-še-en₆[]PN,P210541.23.2,P210541,,,SS03 - 01 - 12,78.0112
11101,lugal-ku₄-ra[]PN,P210543.8.1,P210543,,,SS01 - 03 - 08,76.0308
11102,in-ta-e₃-a-ta[]PN,P210543.11.2,P210543,source,,SS01 - 03 - 08,76.0308
11103,ur-{d}šul-pa-e₃[]PN,P210543.19.1,P210543,,dubsar[scribe]N,SS01 - 03 - 08,76.0308
11104,ur-{d}ha-ia₃[]PN,P210543.21.2,P210543,,arad[slave]N,SS01 - 03 - 08,76.0308
11105,{d}nanna-ma-ba[]PN,P210561.9.2,P210561,,dubsar[scribe]N,IS01 - 09 - 06,85.09060000000002
11106,{d}i-bi₂-{d}suen[]PN,P210561.11.2,P210561,,lugal[king]N,IS01 - 09 - 06,85.09060000000002
11107,{d}i-bi₂-{d}suen[]PN,P210561.14.1,P210561,,lugal[king]N,IS01 - 09 - 06,85.09060000000002
11108,{d}nanna-ma-ba[]PN,P210561.19.1,P210561,,dubsar[scribe]N,IS01 - 09 - 06,85.09060000000002
11109,u₂-na-ab-še-en₆[]PN,P210561.21.2,P210561,,arad[slave]N,IS01 - 09 - 06,85.09060000000002
11110,ba-al-li₂[]PN,P390926.13.2,P390926,,,0000 - 06 - 21-24,0.0621
11111,ab-ba-sa₆-ga-ta[]PN,P390927.7.2,P390927,source,,AS05 - XX - 28,71.0028
11112,{d}en-lil₂-zi-ša₃-gal₂[]PN,P210564.4.1,P210564,representative,,SS04 - 01 - XX,79.01
11113,in-ta-e₃-a-ta[]PN,P210564.13.2,P210564,source,,SS04 - 01 - XX,79.01
11114,nu-ur₂-{d}suen[]PN,P210564.15.2,P210564,intermediary,dubsar[scribe]N,SS04 - 01 - XX,79.01
11115,a₂-bi₂-la-ša[]PN,P210565.4.1,P210565,,,SS07 - 08 - 01,82.0801
11116,nu-ur₂-{d}iškur[]PN,P210565.5.2,P210565,intermediary,sukkal[secretary]N,SS07 - 08 - 01,82.0801
11117,zu-la-la[]PN,P210565.6.1,P210565,representative,,SS07 - 08 - 01,82.0801
11118,nu-ur₂-{d}iškur-ta[]PN,P210565.9.2,P210565,source,,SS07 - 08 - 01,82.0801
11119,zu-u₂-zu[]PN,P210565.11.2,P210565,intermediary,,SS07 - 08 - 01,82.0801
11120,nu-ur₂-{d}iškur[]PN,P210565.23.1,P210565,,šagia[cup-bearer]N,SS07 - 08 - 01,82.0801
11121,ARAD₂-mu[]PN,P210566.7.1,P210566,representative,,SS05 - 02 - 16,80.02159999999998
11122,ur-ku₃-nun-na-ta[]PN,P210566.10.2,P210566,source,,SS05 - 02 - 16,80.02159999999998
11123,hu-la-al[]PN,P210566.12.2,P210566,intermediary,dubsar[scribe]N,SS05 - 02 - 16,80.02159999999998
11124,hu-la-al[]PN,P210566.16.1,P210566,,dubsar[scribe]N,SS05 - 02 - 16,80.02159999999998
11125,šu-{d}iškur[]PN,P210566.18.2,P210566,,,SS05 - 02 - 16,80.02159999999998
11126,zu-ba-ga-ta[]PN,P210573.9.2,P210573,source,,SS01 - 09 - 16,76.0916
11127,kal-i₃-li₂[]PN,P210573.19.1,P210573,,dubsar[scribe]N,SS01 - 09 - 16,76.0916
11128,zu₂-ga-li-ta[]PN,P210584.11.2,P210584,source,,SS08 - 08 - 30,83.083
11129,ur-{d}šul-pa-e₃[]PN,P210584.20.1,P210584,,dubsar[scribe]N,SS08 - 08 - 30,83.083
11130,ur-{d}ha-ia₃[]PN,P210584.22.2,P210584,,arad[slave]N,SS08 - 08 - 30,83.083
11131,ab-ba-sa₆-ga-ta[]PN,P210618.9.2,P210618,source,,AS07 - 09 - 26,73.0926
11132,in-ta-e₃-a[]PN,P210618.10.1,P210618,recipient,,AS07 - 09 - 26,73.0926
11133,šeš-kal-la[]PN,P210622.7.2,P210622,,,AS08 - 07 - 00,74.07
11134,nu-ur₂-{d}suen-ta[]PN,P210622.9.2,P210622,source,,AS08 - 07 - 00,74.07
11135,li-bur-{d}šul-gi[]PN,P210622.14.1,P210622,,dubsar[scribe]N,AS08 - 07 - 00,74.07
11136,kal-la-mu[]PN,P210622.16.2,P210622,,,AS08 - 07 - 00,74.07
11137,lu₂-{d}suen-ta[]PN,P210623.5.2,P210623,source,,SH48 - 00 - 00,66.0
11138,la-ni-mu[]PN,P210623.6.1,P210623,recipient,,SH48 - 00 - 00,66.0
11139,šu-na-mu-gi₄[]PN,P210627.5.1,P210627,,šabra[administrator]N,ASXX - 01 - 19,0.0119
11140,igi-an-na-ke₄-zu[]PN,P210627.8.1,P210627,,,ASXX - 01 - 19,0.0119
11141,ab-ba-sa₆-ga[]PN,P210627.11.1,P210627,new owner,,ASXX - 01 - 19,0.0119
11142,ab-ba-sa₆-ga-ta[]PN,P210628.5.2,P210628,source,,AS05 - 02 - 16,71.02159999999998
11143,in-ta-e₃-a[]PN,P210628.7.1,P210628,recipient,,AS05 - 02 - 16,71.02159999999998
11144,{d}amar-{d}suen[]PN,P210629.14.1,P210629,,lugal[king]N,AS08 - 04 - 08,74.0408
11145,ur-{d}ba-ba₆[]PN,P210629.18.1,P210629,,dubsar[scribe]N,AS08 - 04 - 08,74.0408
11146,u₂-ta₂-mi-šar-ra-am-ta[]PN,P390933.6.2,P390933,source,,AS07 - 12 - 16,73.1216
11147,{d}šul-gi-iri-mu[]PN,P390933.8.1,P390933,recipient,,AS07 - 12 - 16,73.1216
11148,nig₂-mu-mu-kal-le[]PN,P390934.4.2,P390934,intermediary,,AS05 - 07 - 10,71.071
11149,{d}amar-{d}suen-ha-ma-ti[]PN,P390934.6.2,P390934,intermediary,,AS05 - 07 - 10,71.071
11150,tu-ra-am-{d}da-gan-ta[]PN,P390934.10.2,P390934,source,,AS05 - 07 - 10,71.071
11151,{d}šul-gi-iri-mu[]PN,P390934.11.1,P390934,recipient,,AS05 - 07 - 10,71.071
11152,ab-ba-sa₆-ga-ta[]PN,P210631.5.2,P210631,source,,AS04 - 04 - 11,70.0411
11153,{d}šul-gi-a-a-mu[]PN,P210631.6.1,P210631,recipient,,AS04 - 04 - 11,70.0411
11154,ab-ba-sa₆-ga-ta[]PN,P390935.5.2,P390935,source,,AS05 - 08 - 11,71.08109999999998
11155,a-hu-we-er[]PN,P390935.6.1,P390935,recipient,,AS05 - 08 - 11,71.08109999999998
11156,na-lu₅-ta[]PN,P390936.6.2,P390936,source,,SH47 - 02 - 11,65.02109999999999
11157,ur-nigar{gar}[]PN,P390936.8.1,P390936,recipient,,SH47 - 02 - 11,65.02109999999999
11158,{d}nanše-GIR₂@g-gal[]PN,P390937.6.1,P390937,representative,,SH44 - 04 - 07,62.0407
11159,na-lu₅-ta[]PN,P390937.10.2,P390937,source,,SH44 - 04 - 07,62.0407
11160,na-lu₅-ta[]PN,P210632.10.2,P210632,source,,0000 - 02m - 17,0.0217
11161,ur-nigar{gar}[]PN,P210632.11.1,P210632,recipient,,0000 - 02m - 17,0.0217
11162,{d}en-lil₂-la₂[]PN,P390938.11.3,P390938,,,SS02 - 12 - 07,77.1207
11163,{d}nin-ga₂-gi₄-a[]PN,P390938.12.4,P390938,,,SS02 - 12 - 07,77.1207
11164,{d}nin-ti₂-ug₅-ga[]PN,P390938.13.4,P390938,,,SS02 - 12 - 07,77.1207
11165,lu₂-ša-lim[]PN,P390938.22.4,P390938,,,SS02 - 12 - 07,77.1207
11166,la-gi-ip[]PN,P390938.23.2,P390938,intermediary,sukkal[secretary]N,SS02 - 12 - 07,77.1207
11167,ARAD₂-mu[]PN,P390938.24.1,P390938,representative,,SS02 - 12 - 07,77.1207
11168,ma-num₂-ki-{d}šul-gi[]PN,P390938.29.2,P390938,,,SS02 - 12 - 07,77.1207
11169,{d}en-ki[]PN,P390938.31.3,P390938,,,SS02 - 12 - 07,77.1207
11170,ma-ba[]PN,P210633.10.4,P210633,intermediary,,SS09 - 11 - 00,84.11
11171,in-ta-e₃-a-ta[]PN,P210633.14.2,P210633,source,,SS09 - 11 - 00,84.11
11172,ur-ku₃-nun-na[]PN,P210633.15.1,P210633,recipient,,SS09 - 11 - 00,84.11
11173,lu₂-{d}nin-gir₂-su[]PN,P210633.20.2,P210633,,sipad[shepherd]N,SS09 - 11 - 00,84.11
11174,ARAD₂-mu[]PN,P210636.11.1,P210636,representative,,SS07 - 06 - 22,82.0622
11175,a-ba-{d}en-lil₂-gin₇-ta[]PN,P210636.14.2,P210636,source,,SS07 - 06 - 22,82.0622
11176,ur-{d}šul-pa-e₃[]PN,P210636.23.1,P210636,,dubsar[scribe]N,SS07 - 06 - 22,82.0622
11177,ur-{d}ha-ia₃[]PN,P210636.25.2,P210636,,arad[slave]N,SS07 - 06 - 22,82.0622
11178,ur-ku₃-nun-na-ta[]PN,P210637.8.2,P210637,source,,SS04 - 04 - 20,79.042
11179,nu-ur₂-{d}iškur[]PN,P210637.10.2,P210637,intermediary,dubsar[scribe]N,SS04 - 04 - 20,79.042
11180,nu-ur₂-{d}iškur[]PN,P210637.16.1,P210637,,,SS04 - 04 - 20,79.042
11181,šu-{d}iškur[]PN,P210637.17.2,P210637,,kuš[official]N,SS04 - 04 - 20,79.042
11182,na-lu₅-ta[]PN,P210638.12.2,P210638,source,,AS07 - 03 - 01,73.0301
11183,be-li₂-i₃-li₂-ta[]PN,P390940.9.2,P390940,source,,SS01 - 03 - 01,76.0301
11184,SI-A-a[]PN,P210639.3.3,P210639,,nubanda[overseer]N,AS07 - 12 - 15,73.1215
11185,šar-ru-um-ba-ni[]PN,P210639.4.3,P210639,,nubanda[overseer]N,AS07 - 12 - 15,73.1215
11186,lugal-dub-sar[]PN,P210639.5.3,P210639,,,AS07 - 12 - 15,73.1215
11187,a-gu-da[]PN,P210639.7.1,P210639,,,AS07 - 12 - 15,73.1215
11188,igi-an-na-ke₄-zu[]PN,P210639.9.3,P210639,,,AS07 - 12 - 15,73.1215
11189,ab-ba-sa₆-ga[]PN,P210639.12.1,P210639,new owner,,AS07 - 12 - 15,73.1215
11190,be-li₂-i₃-li₂-ta[]PN,P390941.9.2,P390941,source,,SS01 - 04 - 10,76.04100000000003
11191,ur-{d}šul-pa-e₃[]PN,P390941.18.1,P390941,,dubsar[scribe]N,SS01 - 04 - 10,76.04100000000003
11192,ur-{d}ha-ia₃[]PN,P390941.20.2,P390941,,arad[slave]N,SS01 - 04 - 10,76.04100000000003
11193,uri₅{ki}-ki-du₁₀-ta[]PN,P210642.5.2,P210642,source,,SS08 - 09 - 28,83.0928
11194,in-ta-e₃-a-ta[]PN,P210642.7.2,P210642,source,,SS08 - 09 - 28,83.0928
11195,ur-{d}šul-pa-e₃[]PN,P210642.16.1,P210642,,dubsar[scribe]N,SS08 - 09 - 28,83.0928
11196,ur-{d}ha-ia₃[]PN,P210642.18.2,P210642,,arad[slave]N,SS08 - 09 - 28,83.0928
11197,lu₂-dingir-ra[]PN,P210643.6.2,P210643,,,IS01? - XX - 18,0.0018
11198,{d}i-bi₂-{d}suen[]PN,P210643.10.2,P210643,,lugal[king]N,IS01? - XX - 18,0.0018
11199,a-hu-ni-ta[]PN,P390942.11.3,P390942,source,,SH46 - 01 - 00,64.01
11200,ur-nigar{gar}[]PN,P390942.12.1,P390942,recipient,,SH46 - 01 - 00,64.01
11201,lu₂-dingir-ra[]PN,P211024.9.2,P211024,source,,SS01 - 05 - 11,76.05109999999998
11202,ur-sa₆-ga[]PN,P211024.11.2,P211024,intermediary,dubsar[scribe]N,SS01 - 05 - 11,76.05109999999998
11203,ur-sa₆-ga[]PN,P211024.17.1,P211024,,dubsar[scribe]N,SS01 - 05 - 11,76.05109999999998
11204,{d}amar-{d}suen[]PN,P211026.10.1,P211026,,lugal[king]N,AS08 - 06 - 30,74.063
11205,ur-{d}ba-ba₆[]PN,P211026.14.1,P211026,,dubsar[scribe]N,AS08 - 06 - 30,74.063
11206,in-ta-e₃-a-ta[]PN,P211031.6.2,P211031,source,,SS01 - 12 - 27,76.12270000000002
11207,ur-mes[]PN,P211031.12.1,P211031,,,SS01 - 12 - 27,76.12270000000002
11208,la-na[]PN,P211031.13.2,P211031,,kurušda[fattener]N,SS01 - 12 - 27,76.12270000000002
11209,{d}nin-ti₂-ug₅-ga[]PN,P211035.13.4,P211035,,,SSXX - 08 - 16 // SSXX - 09 - 16,0.0816
11210,{d}en-lil₂-zi-ša₃-gal₂[]PN,P211035.16.1,P211035,representative,,SSXX - 08 - 16 // SSXX - 09 - 16,0.0816
11211,na-lu₅-ta[]PN,P211035.18.2,P211035,source,,SSXX - 08 - 16 // SSXX - 09 - 16,0.0816
11212,du-uk-ra[]PN,P293351.5.2,P293351,,,AS06 - 07 - 00,72.07
11213,šu-eš₁₈-dar[]PN,P293351.10.2,P293351,intermediary,,AS06 - 07 - 00,72.07
11214,e₂-a-ra-bi₂[]PN,P293351.11.2,P293351,,,AS06 - 07 - 00,72.07
11215,nu-ur₂-i₃-li₂-ta[]PN,P292354.5.2,P292354,source,,SS03 - 06 - 00,78.06
11216,a-ha-ni-šu[]PN,P292354.6.1,P292354,recipient,,SS03 - 06 - 00,78.06
11217,a-ha-ni-šu[]PN,P292354.12.1,P292354,,sipad[shepherd]N,SS03 - 06 - 00,78.06
11218,na-lu₅-ta[]PN,P291800.4.2,P291800,source,,SS02 - 08 - 00,77.08
11219,{d}en-ki[]PN,P291800.9.3,P291800,,,SS02 - 08 - 00,77.08
11220,ur-mes[]PN,P291800.11.1,P291800,,,SS02 - 08 - 00,77.08
11221,la-na[]PN,P291800.12.2,P291800,,kurušda[fattener]N,SS02 - 08 - 00,77.08
11222,šu-e₂-a[]PN,P291724.4.2,P291724,intermediary,,SH42 - 00 - 00 // AS06 - 00 - 00,60.0
11223,nu-ur₂-{d}suen-ta[]PN,P291724.5.2,P291724,source,,SH42 - 00 - 00 // AS06 - 00 - 00,60.0
11224,kur-giri₃-ni-še₃[]PN,P291578.9.1,P291578,,,SH47 - 07 - 18,65.0718
11225,na-sa₆[]PN,P291578.11.2,P291578,new owner,,SH47 - 07 - 18,65.0718
11226,ka₅-a-mu-ta[]PN,P291588.4.2,P291588,source,,IS02 - 00 - 00,86.0
11227,{d}i-bi₂-{d}suen[]PN,P291588.8.3,P291588,,lugal[king]N,IS02 - 00 - 00,86.0
11228,lu₂-{d}nin-gir₂-su[]PN,P291588.11.2,P291588,,sipad[shepherd]N,IS02 - 00 - 00,86.0
11229,ur-{d}ba-ba₆[]PN,P291535.8.5,P291535,,dubsar[scribe]N,AS06 - XX - XX,72.0
11230,ab-ba-sa₆-ga-ta[]PN,P291535.10.2,P291535,source,,AS06 - XX - XX,72.0
11231,e₂-a-ba-ni[]PN,P291539.4.2,P291539,intermediary,,SS09 - 09 - 00,84.09
11232,ab-ba-kal-la-ta[]PN,P291539.5.2,P291539,source,,SS09 - 09 - 00,84.09
11233,ur-ku₃-nun-na[]PN,P291539.16.1,P291539,,dubsar[scribe]N,SS09 - 09 - 00,84.09
11234,lu₂-{d}nin-gir₂-su[]PN,P291539.18.2,P291539,,kurušda[fattener]N,SS09 - 09 - 00,84.09
11235,ur-{d}suen-ta[]PN,P292403.4.2,P292403,source,,SS09 - 10 - 00,84.1
11236,ur-ku₃-nun-na[]PN,P292403.5.1,P292403,recipient,,SS09 - 10 - 00,84.1
11237,ur-ku₃-nun-na[]PN,P292403.16.1,P292403,,dubsar[scribe]N,SS09 - 10 - 00,84.1
11238,lu₂-{d}nin-gir₂-su[]PN,P292403.18.2,P292403,,kurušda[fattener]N,SS09 - 10 - 00,84.1
11239,nin-ha-ma-ti[]PN,P292423.5.2,P292423,intermediary,,SH44 - 12 - 07,62.1207
11240,kalam-he₂-na-gi[]PN,P292423.9.1,P292423,,,SH44 - 12 - 07,62.1207
11241,{d}šul-gi-i₃-li₂[]PN,P292463.11.1,P292463,recipient,,IS01 - 12 - 00,85.12
11242,lu₂-giri₁₇-zal[]PN,P292463.13.2,P292463,intermediary,,IS01 - 12 - 00,85.12
11243,ur-{d}dam-gal-nun-na[]PN,P292463.14.1,P292463,,dubsar[scribe]N,IS01 - 12 - 00,85.12
11244,{d}i-bi₂-{d}suen[]PN,P292463.16.2,P292463,,lugal[king]N,IS01 - 12 - 00,85.12
11245,{d}i-bi₂-{d}suen[]PN,P292463.19.1,P292463,,lugal[king]N,IS01 - 12 - 00,85.12
11246,{d}šul-gi-i₃-li₂[]PN,P292463.24.1,P292463,,dubsar[scribe]N,IS01 - 12 - 00,85.12
11247,{d}šul-gi-iri-mu[]PN,P292477.5.2,P292477,intermediary,,SS09 - 01 - 14,84.01140000000002
11248,{d}šul-gi-i₃-li₂-ta[]PN,P292477.7.2,P292477,source,,SS09 - 01 - 14,84.01140000000002
11249,an-na-hi-li[]PN,P292477.10.2,P292477,intermediary,,SS09 - 01 - 14,84.01140000000002
11250,nu-ur₂-{d}suen[]PN,P292477.20.1,P292477,,dubsar[scribe]N,SS09 - 01 - 14,84.01140000000002
11251,i-di₃-er₃-ra[]PN,P292477.22.2,P292477,,arad[slave]N,SS09 - 01 - 14,84.01140000000002
11252,šar-ru-um-i₃-li₂[]PN,P292513.4.1,P292513,,šakkanak[general]N,SH47 - 07 - 06,65.0706
11253,{d}šul-gi-si₂-im-ti[]PN,P292513.8.1,P292513,new owner,,SH47 - 07 - 06,65.0706
11254,{d}šul-gi-i₃-li₂[]PN,P292513.9.1,P292513,recipient,,SH47 - 07 - 06,65.0706
