,Name,id_word,CDLI No,role,profession,Original date,Converted Date
42609,lu₂-dingir-ra-ta[]PN,P133970.8.2,P133970,source,,AS08 - 11 - 07,74.1107
42610,{d}šul-gi-iri-mu[]PN,P133970.9.1,P133970,recipient,,AS08 - 11 - 07,74.1107
42611,lu₂-dingir-ra-ta[]PN,P133971.6.2,P133971,source,,AS09 - 07 - 27,75.0727
42612,{d}šul-gi-iri-mu[]PN,P133971.8.1,P133971,recipient,,AS09 - 07 - 27,75.0727
42613,a-hu-we-er-ta[]PN,P133972.11.2,P133972,source,,AS04 - 11 - 08,70.1108
42614,{d}šul-gi-iri-mu[]PN,P133972.12.1,P133972,recipient,,AS04 - 11 - 08,70.1108
42615,lu₂-dingir-ra-ta[]PN,P133973.10.2,P133973,source,,ASXX - 03 - 17,0.0317
42616,ur-nigar{gar}[]PN,P133973.11.1,P133973,recipient,,ASXX - 03 - 17,0.0317
42617,{d}amar-{d}suen[]PN,P133973.14.2,P133973,,,ASXX - 03 - 17,0.0317
42618,a-hu-we-er-ta[]PN,P133974.6.2,P133974,source,,SS03 - 04 - 04,78.0404
42619,{d}šul-gi-iri-mu[]PN,P133974.8.1,P133974,recipient,,SS03 - 04 - 04,78.0404
42620,ur-uš-gid₂-da[]PN,P133974.10.2,P133974,intermediary,,SS03 - 04 - 04,78.0404
42621,{d}en-ki[]PN,P133974.12.4,P133974,,,SS03 - 04 - 04,78.0404
42622,ur-{d}nanna-ta[]PN,P133975.6.2,P133975,source,,SS03 - 06 - 14,78.0614
42623,{d}šul-gi-iri-mu[]PN,P133975.7.1,P133975,recipient,,SS03 - 06 - 14,78.0614
42624,ur-{d}nanna-ta[]PN,P133976.8.2,P133976,source,,SS03 - 10 - 18,78.1018
42625,{d}šul-gi-iri-mu[]PN,P133976.9.1,P133976,recipient,,SS03 - 10 - 18,78.1018
42626,du-u₂-du-ta[]PN,P133977.10.2,P133977,source,,SS05 - 02 - 09,80.0209
42627,{d}šul-gi-iri-mu[]PN,P133977.11.1,P133977,recipient,,SS05 - 02 - 09,80.0209
42628,ur-{d}dumu-zi-da[]PN,P133978.6.1,P133978,,,AS03 - 02 - 00,69.02
42629,šu-ku-bu-um[]PN,P133978.8.2,P133978,,,AS03 - 02 - 00,69.02
42630,{d}en-lil₂-la₂[]PN,P133978.12.3,P133978,,,AS03 - 02 - 00,69.02
42631,ab-ba-sa₆-ga[]PN,P133980.5.1,P133980,,,AS05 - 12 - 00,71.12
42632,nin-šu-gi₄-gi₄[]PN,P133981.4.2,P133981,,,XXXX - 11 - 00,0.11
42633,ur-{d}en-lil₂-la₂[]PN,P133982.6.1,P133982,,,SH45 - 06 - 29,63.0629
42634,ur-nigar{gar}[]PN,P133982.11.1,P133982,,kaguruk[supervisor]N,SH45 - 06 - 29,63.0629
42635,i-di₃-e₂-a[]PN,P133983.6.2,P133983,,šabra[administrator]N,SH48 - 07 - 00,66.07
42636,na-sa₆[]PN,P133983.9.1,P133983,new owner,,SH48 - 07 - 00,66.07
42637,lu₂-dingir-ra[]PN,P133984.9.1,P133984,recipient,,AS03 - 09 - 29,69.0929
42638,ab-ba-sa₆-ga-ta[]PN,P133985.8.2,P133985,source,,AS05 - 10 - 05,71.1005
42639,in-ta-e₃-a[]PN,P133985.10.1,P133985,recipient,,AS05 - 10 - 05,71.1005
42640,en-dingir-mu[]PN,P133986.10.2,P133986,,,AS06 - 03 - 29,72.0329
42641,ur-{d}lugal-edin-ka[]PN,P133987.10.2,P133987,,,SH47 - 04 - 07,65.0407
