id,source,target,p_index,year,type,source's role,target's role
2838,203,1540,330659,{Shulgi.46.03.00},Undirected,{'source'},{'source'}
2839,872,1540,330659,{Shulgi.46.03.00},Undirected,,{'source'}
2840,203,808,218221,{Amar-Suen.04.09m.28 (intercalated)},Undirected,{'source'},{'recipient'}
2841,203,885,218221,{Amar-Suen.04.09m.28 (intercalated)},Undirected,{'source'},
2842,808,885,218221,{Amar-Suen.04.09m.28 (intercalated)},Undirected,{'recipient'},
2843,203,953,201075,{Amar-Suen.06.01.09},Undirected,{'source'},
2844,203,953,103004,{Amar-Suen.06.06.02},Undirected,{'source'},
2845,203,953,218193,{Amar-Suen.06.07.21},Undirected,{'source'},
2846,203,953,102894,{Amar-Suen.07.10.00},Undirected,{'source'},
2847,203,1410,102894,{Amar-Suen.07.10.00},Undirected,{'source'},{'recipient'}
2848,953,1410,102894,{Amar-Suen.07.10.00},Undirected,,{'recipient'}
2849,203,953,103326,{Amar-Suen.09.03.00},Undirected,"{'recipient', 'source'}",
2850,203,1213,109211,{Amar-Suen.04.03.00},Undirected,"{'recipient', 'source'}",
2851,203,1213,131057,{Amar-Suen.07.09.17},Undirected,{'source'},
2852,203,1213,201091,{Amar-Suen.08.09.13},Undirected,{'source'},
2853,203,1326,104511,{Amar-Suen.--.01.27},Undirected,"{'recipient', 'source'}",
2854,203,1311,145911,{Amar-Suen.02.12.14},Undirected,{'source'},{'recipient'}
2855,203,1326,145911,{Amar-Suen.02.12.14},Undirected,{'source'},
2856,1311,1326,145911,{Amar-Suen.02.12.14},Undirected,{'recipient'},
2857,203,1311,218226,{Amar-Suen.04.10.04},Undirected,{'source'},{'recipient'}
2858,203,1326,218226,{Amar-Suen.04.10.04},Undirected,{'source'},
2859,1311,1326,218226,{Amar-Suen.04.10.04},Undirected,{'recipient'},
2860,203,1326,273271,{Amar-Suen.05.11.07},Undirected,{'source'},
2861,203,505,121765,{Amar-Suen.03.08.24},Undirected,{'source'},{'recipient'}
2862,203,697,125507,,Undirected,{'source'},
2863,203,697,122188,{Amar-Suen.05.12.00},Undirected,{'source'},
2864,203,1240,125512,{Amar-Suen.05.08.10},Undirected,{'source'},{'intermediary'}
2865,203,1305,118570,{Amar-Suen.05.11.03},Undirected,{'source'},
2866,203,1320,122162,{Amar-Suen.06.03.09},Undirected,{'source'},
2867,203,1826,111952,{Amar-Suen.04.11.21},Undirected,{'source'},{'representative'}
2868,203,2233,104071,{Amar-Suen.07.08.13},Undirected,{'source'},
2869,203,401,102343,,Undirected,{'source'},
2870,203,329,142631,{Shulgi.45.06.15 (us2 year)},Undirected,"{'recipient', 'source'}",
2871,203,2137,142631,{Shulgi.45.06.15 (us2 year)},Undirected,"{'recipient', 'source'}",
2872,329,2137,142631,{Shulgi.45.06.15 (us2 year)},Undirected,,
2873,223,223,144238,{Amar-Suen.07.07.00},Undirected,{'source'},{'source'}
2874,203,1266,303668,{Shulgi.44.02m.00 (intercalated) =? Shulgi.45.02.00 },Undirected,{'source'},
2875,203,1601,303668,{Shulgi.44.02m.00 (intercalated) =? Shulgi.45.02.00 },Undirected,{'source'},
2876,1266,1601,303668,{Shulgi.44.02m.00 (intercalated) =? Shulgi.45.02.00 },Undirected,,
2877,203,1276,136236,{Amar-Suen.06.10.06},Undirected,{'source'},
2878,203,1638,136236,{Amar-Suen.06.10.06},Undirected,{'source'},
2879,1276,1638,136236,{Amar-Suen.06.10.06},Undirected,,
2880,203,1311,107885,{Amar-Suen.07.11.19},Undirected,{'source'},{'recipient'}
2881,203,1638,107885,{Amar-Suen.07.11.19},Undirected,{'source'},
2882,1311,1638,107885,{Amar-Suen.07.11.19},Undirected,{'recipient'},
2883,203,1638,135080,{Amar-Suen.08.01.03 (us2 year)},Undirected,{'source'},
2884,203,980,124922,{Amar-Suen.08.02.16},Undirected,{'source'},{'source'}
2885,203,1638,124922,{Amar-Suen.08.02.16},Undirected,{'source'},
2886,980,1638,124922,{Amar-Suen.08.02.16},Undirected,{'source'},
