,BDTNS No,CDLI ID,Original date,Converted Date
934,26498,P102901,AS08 - 12 - 06,74.12060000000001
935,26499,P102902,IS01 - 00 - 00,85.0
936,26500,P102903,AS01 - 11 - 09,67.1109
937,26501,P102904,AS06 - 03 - 05,72.0305
938,26502,P102905,AS03 - 12 - 16,69.1216
939,26503,P102906,AS06 - 03 - 22,72.0322
940,26505,P102908,AS04 - 08 - 18,70.0818
941,26506,P102909,XXXX - 00 - 25,0.0025
942,26509,P102912,AS03 - 10 - 07,69.10069999999999
943,26510,P102913,AS06 - 02 - 17,72.0217
944,26511,P102914,AS06 - 06 - 02,72.06020000000001
945,26512,P102915,SS02 - 04 - 00,77.04
946,26513,P102916,AS02 - 06 - 12,68.0612
947,26514,P102917,AS08 - 06 - 13,74.0613
948,26515,P102918,AS01 - 06 - 20,67.062
949,26516,P102919,AS01 - 02 - 15,67.02149999999999
950,26517,P102920,XXXX - 09 - 02,0.0902
951,26518,P102921,AS07 - 11 - 12,73.1112
952,26521,P102924,AS04 - 12d - 00,70.12
953,26522,P102925,SS01 - 10 - 00,76.1
954,26523,P102926,SS01 - 12 - 00,76.12
955,26524,P102927,SS07 - 06 - 28,82.0628
956,26526,P102929,SH44 - 07 - 19,62.0719
957,26527,P102930,AS04 - 04 - 29,70.0429
958,26528,P102931,SH33 - 09 - 00,51.09
959,26529,P102932,AS03 - 05 - 26,69.0526
960,26530,P102933,SH47 - 02 - 01,65.0201
961,26531,P102934,AS04 - 04 - 01,70.04010000000001
962,26532,P102935,SH40 - 01 - 00,58.01
963,26533,P102936,AS08 - 04 - 04,74.0404
964,26534,P102937,AS08 - 08 - 00,74.08
965,26535,P102938,AS08 - 07 - 17,74.07169999999999
966,26536,P102939,AS05 - 04 - 10,71.04100000000001
967,26537,P102940,AS08 - 00 - 00,74.0
968,26538,P102941,AS08 - 03 - 15,74.0315
969,26539,P102942,AS04 - 10 - 01,70.1001
970,26540,P102943,AS08 - 12 - 30,74.123
971,26542,P102945,SS03 - 09 - 00,78.09
972,26543,P102946,AS08 - 05 - 14,74.0514
973,26544,P102947,AS01 - 07 - 30,67.073
974,26546,P102949,SH46 - 12 - 23,64.12230000000001
975,26547,P102950,XXXX - 10 - 00,0.1
976,26549,P102952,AS08 - 06 - 07,74.0607
977,26550,P102953,AS05 - 06 - 07,71.0607
978,26551,P102954,SS09 - 06 - 26,84.0626
979,26552,P102955,IS02 - 12 - 10,86.12100000000001
980,26553,P102956,AS01 - 11 - 02,67.1102
981,26554,P102957,AS04 - 02 - 13,70.0213
982,26555,P102958,IS01 - 09 - 21,85.0921
983,26556,P102959,AS02 - 04 - 02,68.04020000000001
984,26557,P102960,AS08 - 01 - 25,74.0125
985,26559,P102962,AS08 - 11 - 09,74.1109
986,26560,P102963,XXXX - 07 - 00,0.07
987,26561,P102964,AS08 - 11 - 29,74.1129
